Test,p_value,p_adjusted,Significant (FDR)
RQ1: has_code_of_conduct,0.00658231520878616,0.044444444444444446,True
RQ1: has_contributing,0.000346277969910416,0.03888888888888889,True
RQ1: has_license,0.5721195525421807,0.05,False
RQ1: has_issue_template,2.1514371531723204e-05,0.03333333333333333,True
RQ1: has_pull_request_template,1.3837613656389882e-08,0.016666666666666666,True
RQ1: has_maintainer_guidelines,5.586187035770254e-06,0.02777777777777778,True
RQ2: median_issue_response_days,4.7620177754371207e-07,0.022222222222222223,True
RQ2: bus_factor,4.098375074301577e-09,0.011111111111111112,True
RQ2: contributor_diversity_gini,3.9338422124125596e-13,0.005555555555555556,True
