repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status
hiddify/hiddify-next,653,hiddify,hiddify-next,unknown,Dart,2025-04-26T20:40:07Z,False,success
nestjs/nest,652,nestjs,nest,unknown,TypeScript,2025-12-26T00:03:29Z,False,success
SPLWare/esProc,651,SPLWare,esProc,unknown,Java,2025-12-22T11:29:34Z,False,success
tesseract-ocr/tesseract,650,tesseract-ocr,tesseract,unknown,C++,2025-12-23T07:05:13Z,False,success
hiteshchoudhary/chai-aur-react,650,hiteshchoudhary,chai-aur-react,unknown,JavaScript,2024-08-18T20:36:32Z,False,success
liuchong/awesome-roadmaps,649,liuchong,awesome-roadmaps,unknown,,2025-10-11T01:12:27Z,False,success
dair-ai/ML-Papers-of-the-Week,649,dair-ai,ML-Papers-of-the-Week,unknown,,2025-07-20T17:37:34Z,False,success
gorhill/uBlock,648,gorhill,uBlock,unknown,JavaScript,2025-12-25T21:36:17Z,False,success
zbezj/HEU_KMS_Activator,647,zbezj,HEU_KMS_Activator,unknown,,2025-11-11T12:34:09Z,False,success
d3george/slash-admin,647,d3george,slash-admin,unknown,TypeScript,2025-08-12T14:14:33Z,False,success
iusztinpaul/hands-on-llms,647,iusztinpaul,hands-on-llms,unknown,Jupyter Notebook,2024-12-09T14:55:28Z,True,success
django/django,646,django,django,unknown,Python,2025-12-24T17:49:00Z,False,success
ziglang/zig,644,ziglang,zig,unknown,Zig,2025-11-27T01:42:59Z,False,success
freefq/free,642,freefq,free,unknown,,2024-08-20T09:43:55Z,False,success
TheRamU/Fay,641,TheRamU,Fay,unknown,Python,2025-12-24T09:01:18Z,False,success
Alvin9999/new-pac,641,Alvin9999,new-pac,unknown,,,,not_found
jellyfin/jellyfin,641,jellyfin,jellyfin,unknown,C#,2025-12-26T01:04:38Z,False,success
colinhacks/zod,641,colinhacks,zod,unknown,TypeScript,2025-12-23T20:28:22Z,False,success
halo-dev/halo,640,halo-dev,halo,unknown,Java,2025-12-26T04:02:58Z,False,success
openai-translator/openai-translator,637,openai-translator,openai-translator,unknown,TypeScript,2025-12-12T08:12:36Z,False,success
weaigc/bingo,637,weaigc,bingo,unknown,TypeScript,2024-06-08T01:40:56Z,False,success
facebook/react-native,637,facebook,react-native,unknown,C++,2025-12-24T17:06:00Z,False,success
yuzu-emu/yuzu,637,yuzu-emu,yuzu,unknown,,,,not_found
opencv/opencv,635,opencv,opencv,unknown,C++,2025-12-25T15:00:02Z,False,success
microsoft/Web-Dev-For-Beginners,635,microsoft,Web-Dev-For-Beginners,unknown,JavaScript,2025-12-19T10:32:56Z,False,success
apache/superset,634,apache,superset,unknown,TypeScript,2025-12-24T17:17:43Z,False,success
logseq/logseq,634,logseq,logseq,unknown,Clojure,2025-12-26T05:34:57Z,False,success
Wilfred/difftastic,633,Wilfred,difftastic,unknown,Rust,2025-12-26T00:03:36Z,False,success
milvus-io/milvus,632,milvus-io,milvus,unknown,Go,2025-12-26T02:17:20Z,False,success
facefusion/facefusion,631,facefusion,facefusion,unknown,Python,2025-12-24T12:17:36Z,False,success
yuliskov/SmartTube,631,yuliskov,SmartTube,unknown,Java,2025-12-26T02:50:43Z,False,success
folke/lazy.nvim,631,folke,lazy.nvim,unknown,Lua,2025-12-17T12:08:49Z,False,success
facebook/docusaurus,630,facebook,docusaurus,unknown,TypeScript,2025-12-23T15:32:17Z,False,success
goabstract/Awesome-Design-Tools,628,goabstract,Awesome-Design-Tools,unknown,JavaScript,2024-07-28T19:57:31Z,False,success
modularml/mojo,628,modularml,mojo,unknown,Mojo,2025-12-25T13:36:44Z,False,success
gin-gonic/gin,626,gin-gonic,gin,unknown,Go,2025-12-24T10:35:20Z,False,success
bevyengine/bevy,625,bevyengine,bevy,unknown,Rust,2025-12-26T06:03:42Z,False,success
NaiboWang/EasySpider,625,NaiboWang,EasySpider,unknown,JavaScript,2025-12-01T08:39:17Z,False,success
bitcoin/bitcoin,622,bitcoin,bitcoin,unknown,C++,2025-12-23T01:15:02Z,False,success
acmesh-official/acme.sh,622,acmesh-official,acme.sh,unknown,Shell,2025-12-25T12:39:05Z,False,success
piglei/one-python-craftsman,621,piglei,one-python-craftsman,unknown,,2024-05-16T00:19:42Z,False,success
sudheerj/reactjs-interview-questions,620,sudheerj,reactjs-interview-questions,unknown,JavaScript,2025-12-23T15:16:34Z,False,success
Anttwo/SuGaR,620,Anttwo,SuGaR,unknown,C++,2024-09-24T15:13:31Z,False,success
opentofu/opentofu,619,opentofu,opentofu,unknown,Go,2025-12-23T15:45:43Z,False,success
helix-editor/helix,619,helix-editor,helix,unknown,Rust,2025-12-23T17:38:16Z,False,success
prisma/prisma,618,prisma,prisma,unknown,TypeScript,2025-12-23T18:50:08Z,False,success
Anuken/Mindustry,616,Anuken,Mindustry,unknown,Java,2025-12-26T00:46:14Z,False,success
simondankelmann/Bluetooth-LE-Spam,615,simondankelmann,Bluetooth-LE-Spam,unknown,Kotlin,2025-10-31T05:34:16Z,False,success
vuejs/core,613,vuejs,core,unknown,TypeScript,2025-12-26T05:39:24Z,False,success
pot-app/pot-desktop,613,pot-app,pot-desktop,unknown,JavaScript,2025-11-09T09:51:47Z,False,success
refilc/webnaplo,612,refilc,webnaplo,unknown,,,,not_found
Chanzhaoyu/chatgpt-web,612,Chanzhaoyu,chatgpt-web,unknown,Vue,2024-08-16T15:26:57Z,True,success
ascoders/weekly,611,ascoders,weekly,unknown,JavaScript,2024-09-09T01:39:37Z,False,success
gregsadetsky/sagittarius,610,gregsadetsky,sagittarius,unknown,TypeScript,2024-01-26T16:54:26Z,False,success
lapce/lapce,610,lapce,lapce,unknown,Rust,2025-12-26T00:42:56Z,False,success
PySimpleGUI/PySimpleGUI,610,PySimpleGUI,PySimpleGUI,unknown,Python,2025-06-01T13:30:20Z,False,success
scalar/scalar,609,scalar,scalar,unknown,TypeScript,2025-12-23T13:59:08Z,False,success
wailsapp/wails,609,wailsapp,wails,unknown,Go,2025-12-26T04:15:12Z,False,success
docker/awesome-compose,608,docker,awesome-compose,unknown,HTML,2025-12-24T00:34:39Z,False,success
casey/just,607,casey,just,unknown,Rust,2025-12-12T19:59:26Z,False,success
meilisearch/meilisearch,607,meilisearch,meilisearch,unknown,Rust,2025-12-23T17:46:36Z,False,success
strapi/strapi,607,strapi,strapi,unknown,TypeScript,2025-12-23T16:42:22Z,False,success
isadorasophia/murder,606,isadorasophia,murder,unknown,C#,2025-12-26T01:48:15Z,False,success
blakeblackshear/frigate,605,blakeblackshear,frigate,unknown,TypeScript,2025-12-25T21:45:27Z,False,success
microsoft/windows-ai-studio,604,microsoft,windows-ai-studio,unknown,,2025-12-24T02:14:10Z,False,success
Alfred-Skyblue/vue-draggable-plus,604,Alfred-Skyblue,vue-draggable-plus,unknown,Vue,2025-10-11T01:43:27Z,False,success
labuladong/fucking-algorithm,603,labuladong,fucking-algorithm,unknown,Markdown,2025-10-08T04:06:00Z,False,success
TeamNewPipe/NewPipe,602,TeamNewPipe,NewPipe,unknown,Java,2025-12-25T09:31:49Z,False,success
exelban/stats,602,exelban,stats,unknown,Swift,2025-12-25T18:26:07Z,False,success
netbootxyz/netboot.xyz,601,netbootxyz,netboot.xyz,unknown,Jinja,2025-12-26T04:54:07Z,False,success
HqWu-HITCS/Awesome-Chinese-LLM,601,HqWu-HITCS,Awesome-Chinese-LLM,unknown,,2025-05-19T06:11:57Z,False,success
ezshine/AwesomeSites,600,ezshine,AwesomeSites,unknown,JavaScript,2025-12-25T16:17:54Z,False,success
lllyasviel/ControlNet,599,lllyasviel,ControlNet,unknown,Python,2024-02-25T09:49:39Z,False,success
s0md3v/roop,599,s0md3v,roop,unknown,Python,2024-08-19T12:57:17Z,False,success
microsoft/DeepSpeed,599,microsoft,DeepSpeed,unknown,Python,2025-12-24T18:49:21Z,False,success
devv-ai/devv,599,devv-ai,devv,unknown,,2024-07-23T09:07:36Z,False,success
ExpLangcn/NucleiTP,597,ExpLangcn,NucleiTP,unknown,,2024-08-23T04:34:12Z,False,success
toeverything/AFFiNE,597,toeverything,AFFiNE,unknown,TypeScript,2025-12-26T01:41:18Z,False,success
SqueezeAILab/LLMCompiler,597,SqueezeAILab,LLMCompiler,unknown,Python,2024-07-10T04:39:34Z,False,success
facundoolano/feedi,596,facundoolano,feedi,unknown,Python,2025-11-02T16:26:24Z,False,success
StarRocks/starrocks,595,StarRocks,starrocks,unknown,Java,2025-12-26T06:15:51Z,False,success
wuyouzhuguli/SpringAll,595,wuyouzhuguli,SpringAll,unknown,Java,2024-05-31T14:56:35Z,False,success
imoneoi/openchat,594,imoneoi,openchat,unknown,Python,2024-09-13T07:46:22Z,False,success
Loyalsoldier/clash-rules,593,Loyalsoldier,clash-rules,unknown,,2025-12-25T22:44:31Z,False,success
01-ai/Yi,593,01-ai,Yi,unknown,Jupyter Notebook,2024-11-27T09:25:57Z,False,success
open-compass/MixtralKit,593,open-compass,MixtralKit,unknown,Python,2023-12-15T19:10:55Z,False,success
SillyTavern/SillyTavern,591,SillyTavern,SillyTavern,unknown,JavaScript,2025-12-25T00:42:41Z,False,success
PaddlePaddle/PaddleOCR,589,PaddlePaddle,PaddleOCR,unknown,Python,2025-12-23T07:15:08Z,False,success
alibaba-damo-academy/FunASR,589,alibaba-damo-academy,FunASR,unknown,Python,2025-12-24T05:55:03Z,False,success
openai/CLIP,587,openai,CLIP,unknown,Jupyter Notebook,2024-07-23T01:30:44Z,False,success
Eugeny/tabby,587,Eugeny,tabby,unknown,TypeScript,2025-12-26T00:56:43Z,False,success
prasanthrangan/hyprdots,586,prasanthrangan,hyprdots,unknown,Shell,2025-03-23T05:31:38Z,False,success
nextui-org/nextui,586,nextui-org,nextui,unknown,TypeScript,2025-12-26T03:14:24Z,False,success
blackmatrix7/ios_rule_script,586,blackmatrix7,ios_rule_script,unknown,JavaScript,2025-12-25T18:14:00Z,False,success
dataelement/bisheng,585,dataelement,bisheng,unknown,TypeScript,2025-12-25T12:48:21Z,False,success
Light-City/CPlusPlusThings,584,Light-City,CPlusPlusThings,unknown,C++,2024-06-14T01:58:36Z,False,success
Whisky-App/Whisky,583,Whisky-App,Whisky,unknown,Swift,2025-05-11T17:50:04Z,True,success
microsoft/TypeScript,583,microsoft,TypeScript,unknown,TypeScript,2025-12-26T03:14:02Z,False,success
marticliment/WingetUI,582,marticliment,WingetUI,unknown,C#,2025-12-25T19:20:43Z,False,success
spyboy-productions/CloakQuest3r,581,spyboy-productions,CloakQuest3r,unknown,Python,2025-04-22T01:29:23Z,False,success
TG-ToolsFree/Telegram-Adder-Scraper-BulkMessageSender-Forwarder-FakeViews-Reporter-ChannelCopy_All-In-1-Tool-2023,581,TG-ToolsFree,Telegram-Adder-Scraper-BulkMessageSender-Forwarder-FakeViews-Reporter-ChannelCopy_All-In-1-Tool-2023,unknown,,,,not_found
ltdrdata/ComfyUI-Manager,580,ltdrdata,ComfyUI-Manager,unknown,Python,2025-12-24T03:50:32Z,False,success
3b1b/manim,580,3b1b,manim,unknown,Python,2025-10-20T17:03:38Z,False,success
modood/Administrative-divisions-of-China,579,modood,Administrative-divisions-of-China,unknown,JavaScript,2024-11-28T08:46:11Z,False,success
m-bain/whisperX,578,m-bain,whisperX,unknown,Python,2025-10-21T15:13:50Z,False,success
charmbracelet/bubbletea,578,charmbracelet,bubbletea,unknown,Go,2025-12-17T17:47:16Z,False,success
hiteshchoudhary/chai-backend,578,hiteshchoudhary,chai-backend,unknown,JavaScript,2024-08-18T12:06:33Z,False,success
coreybutler/nvm-windows,578,coreybutler,nvm-windows,unknown,Go,2025-10-06T12:58:49Z,False,success
aymenfurter/microagents,576,aymenfurter,microagents,unknown,Python,2024-03-15T10:33:38Z,False,success
srush/Tensor-Puzzles,575,srush,Tensor-Puzzles,unknown,Jupyter Notebook,2024-07-15T20:11:52Z,False,success
drizzle-team/drizzle-orm,574,drizzle-team,drizzle-orm,unknown,TypeScript,2025-12-25T23:58:32Z,False,success
sickcodes/Docker-OSX,574,sickcodes,Docker-OSX,unknown,Shell,2025-11-11T05:23:57Z,False,success
romkatv/powerlevel10k,574,romkatv,powerlevel10k,unknown,Shell,2025-04-29T13:00:59Z,False,success
itgoyo/TelegramGroup,574,itgoyo,TelegramGroup,unknown,,2025-12-26T03:41:09Z,False,success
bregman-arie/devops-exercises,574,bregman-arie,devops-exercises,unknown,Python,2025-10-07T17:14:54Z,False,success
omnivore-app/omnivore,573,omnivore-app,omnivore,unknown,TypeScript,2025-12-04T18:00:25Z,False,success
isno/theByteBook,573,isno,theByteBook,unknown,JavaScript,2025-11-27T08:04:55Z,False,success
sunface/rust-course,571,sunface,rust-course,unknown,Rust,2025-11-26T03:57:38Z,False,success
elysiajs/elysia,570,elysiajs,elysia,unknown,TypeScript,2025-12-25T18:07:14Z,False,success
go-gost/gost,570,go-gost,gost,unknown,Go,2025-11-22T15:02:23Z,False,success
FFmpeg/FFmpeg,570,FFmpeg,FFmpeg,unknown,C,2025-12-24T16:38:23Z,False,success
tisfeng/Easydict,569,tisfeng,Easydict,unknown,Swift,2025-12-07T04:07:18Z,False,success
lyswhut/lx-music-mobile,566,lyswhut,lx-music-mobile,unknown,TypeScript,2025-12-19T02:07:40Z,False,success
pppscn/SmsForwarder,565,pppscn,SmsForwarder,unknown,Kotlin,2025-12-10T08:23:14Z,False,success
vuejs/vue,565,vuejs,vue,unknown,TypeScript,2024-10-10T07:24:15Z,False,success
Bin-Huang/chatbox,564,Bin-Huang,chatbox,unknown,TypeScript,2025-11-28T14:39:47Z,False,success
bensadeh/tailspin,564,bensadeh,tailspin,unknown,Rust,2025-12-22T04:53:43Z,False,success
huggingface/peft,562,huggingface,peft,unknown,Python,2025-12-18T10:52:52Z,False,success
python/cpython,562,python,cpython,unknown,Python,2025-12-25T19:21:16Z,False,success
caddyserver/caddy,561,caddyserver,caddy,unknown,Go,2025-12-21T09:09:55Z,False,success
kellyjonbrazil/jc,561,kellyjonbrazil,jc,unknown,Python,2025-10-13T01:55:01Z,False,success
tokio-rs/axum,560,tokio-rs,axum,unknown,Rust,2025-12-25T13:47:29Z,False,success
nightcca/CC-NIGHT,559,nightcca,CC-NIGHT,unknown,,,,not_found
ryanmcdermott/clean-code-javascript,558,ryanmcdermott,clean-code-javascript,unknown,JavaScript,2024-07-29T07:24:37Z,False,success
dotnet/eShop,558,dotnet,eShop,unknown,C#,2025-12-22T16:37:22Z,False,success
ashishps1/awesome-low-level-design,557,ashishps1,awesome-low-level-design,unknown,Java,2025-10-25T14:41:17Z,False,success
penxio/penx,556,penxio,penx,unknown,TypeScript,2025-09-18T10:48:23Z,False,success
streamlit/streamlit,556,streamlit,streamlit,unknown,Python,2025-12-25T23:10:04Z,False,success
guidance-ai/guidance,554,guidance-ai,guidance,unknown,Jupyter Notebook,2025-12-17T18:04:39Z,False,success
kingToolbox/WindTerm,553,kingToolbox,WindTerm,unknown,C,2025-03-11T19:12:09Z,False,success
gohugoio/hugo,553,gohugoio,hugo,unknown,Go,2025-12-25T13:22:14Z,False,success
sczhou/Upscale-A-Video,548,sczhou,Upscale-A-Video,unknown,Python,2024-09-27T10:50:59Z,False,success
laurent22/joplin,546,laurent22,joplin,unknown,TypeScript,2025-12-26T06:05:07Z,False,success
jgraph/drawio-desktop,545,jgraph,drawio-desktop,unknown,JavaScript,2025-11-17T16:43:18Z,False,success
OwO-Network/DeepLX,544,OwO-Network,DeepLX,unknown,Go,2025-12-12T21:45:16Z,False,success
expo/expo,543,expo,expo,unknown,TypeScript,2025-12-25T13:32:32Z,False,success
krahets/LeetCode-Book,542,krahets,LeetCode-Book,unknown,Java,2024-05-11T07:33:48Z,False,success
bannedbook/fanqiang,541,bannedbook,fanqiang,unknown,Kotlin,2025-12-26T04:57:29Z,False,success
Dao-AILab/flash-attention,540,Dao-AILab,flash-attention,unknown,Python,2025-12-25T01:44:18Z,False,success
FedML-AI/FedML,540,FedML-AI,FedML,unknown,Python,2025-10-28T12:44:12Z,False,success
tteck/Proxmox,540,tteck,Proxmox,unknown,Shell,2024-11-02T12:58:46Z,True,success
sh-lee-prml/HierSpeechpp,540,sh-lee-prml,HierSpeechpp,unknown,Python,2024-02-20T05:13:28Z,False,success
enaqx/awesome-react,538,enaqx,awesome-react,unknown,,2025-12-09T09:56:09Z,False,success
mengzehe/TVBox,538,mengzehe,TVBox,unknown,,,,not_found
o0HalfLife0o/TVBoxOSC,536,o0HalfLife0o,TVBoxOSC,unknown,,2025-11-27T09:34:29Z,False,success
mui/material-ui,534,mui,material-ui,unknown,JavaScript,2025-12-26T04:34:06Z,False,success
UberGuidoZ/Flipper,534,UberGuidoZ,Flipper,unknown,C,2025-12-20T07:16:12Z,False,success
electron/electron,533,electron,electron,unknown,C++,2025-12-25T23:17:09Z,False,success
chat2db/Chat2DB,532,chat2db,Chat2DB,unknown,Java,2025-12-19T18:44:58Z,False,success
photoprism/photoprism,530,photoprism,photoprism,unknown,Go,2025-12-23T14:18:01Z,False,success
CodeWithHarry/Sigma-Web-Dev-Course,530,CodeWithHarry,Sigma-Web-Dev-Course,unknown,JavaScript,2024-11-05T13:28:33Z,False,success
LazyVim/LazyVim,529,LazyVim,LazyVim,unknown,Lua,2025-11-11T09:06:13Z,False,success
airbnb/javascript,528,airbnb,javascript,unknown,JavaScript,2025-11-06T00:54:14Z,False,success
calcom/cal.com,528,calcom,cal.com,unknown,TypeScript,2025-12-26T04:47:52Z,False,success
appwrite/appwrite,528,appwrite,appwrite,unknown,TypeScript,2025-12-25T17:08:01Z,False,success
llvm/llvm-project,527,llvm,llvm-project,unknown,LLVM,2025-12-26T06:03:46Z,False,success
trpc/trpc,525,trpc,trpc,unknown,TypeScript,2025-12-23T16:13:04Z,False,success
w-okada/voice-changer,525,w-okada,voice-changer,unknown,Python,2025-08-24T12:49:48Z,False,success
karpathy/minGPT,525,karpathy,minGPT,unknown,Python,2024-08-15T04:09:40Z,False,success
zclzone/vue-naive-admin,524,zclzone,vue-naive-admin,unknown,Vue,2025-12-23T06:03:55Z,False,success
mpv-player/mpv,524,mpv-player,mpv,unknown,C,2025-12-24T18:01:40Z,False,success
huiyadanli/RevokeMsgPatcher,524,huiyadanli,RevokeMsgPatcher,unknown,C#,2025-11-08T13:23:25Z,False,success
CorentinTh/it-tools,523,CorentinTh,it-tools,unknown,Vue,2025-12-03T19:56:15Z,False,success
slint-ui/slint,522,slint-ui,slint,unknown,Rust,2025-12-22T11:26:34Z,False,success
baaivision/Emu,522,baaivision,Emu,unknown,Python,2024-09-27T03:24:23Z,False,success
FlagAlpha/Llama2-Chinese,519,FlagAlpha,Llama2-Chinese,unknown,Python,2025-04-06T09:16:55Z,False,success
golang-standards/project-layout,518,golang-standards,project-layout,unknown,Makefile,2025-12-12T05:01:50Z,False,success
PKUanonym/REKCARC-TSC-UHT,517,PKUanonym,REKCARC-TSC-UHT,unknown,HTML,2025-11-28T16:34:58Z,False,success
bentoml/OpenLLM,517,bentoml,OpenLLM,unknown,Python,2025-12-22T16:53:11Z,False,success
HuskyDG/magisk-files,517,HuskyDG,magisk-files,unknown,,,,not_found
mayuki/Cocona,517,mayuki,Cocona,unknown,C#,2024-08-13T15:28:41Z,True,success
angular/angular,515,angular,angular,unknown,TypeScript,2025-12-18T21:06:37Z,False,success
xx025/carrot,515,xx025,carrot,unknown,,2025-10-27T15:58:14Z,False,success
qdrant/qdrant,515,qdrant,qdrant,unknown,Rust,2025-12-24T22:36:51Z,False,success
odoo/odoo,515,odoo,odoo,unknown,Python,2025-12-26T06:22:25Z,False,success
tldraw/make-real,513,tldraw,make-real,unknown,TypeScript,2025-11-20T09:37:18Z,False,success
xinntao/Real-ESRGAN,513,xinntao,Real-ESRGAN,unknown,Python,2024-08-06T13:15:18Z,False,success
AdguardTeam/AdGuardHome,512,AdguardTeam,AdGuardHome,unknown,Go,2025-12-25T14:05:13Z,False,success
huggingface/optimum-nvidia,510,huggingface,optimum-nvidia,unknown,Python,2025-02-06T11:18:27Z,False,success
rough-stuff/rough-notation,509,rough-stuff,rough-notation,unknown,TypeScript,2024-03-18T05:16:12Z,False,success
LTH14/rcg,509,LTH14,rcg,unknown,Python,2024-09-27T20:23:50Z,False,success
jepsen-io/maelstrom,509,jepsen-io,maelstrom,unknown,Clojure,2025-11-28T14:47:31Z,False,success
starship/starship,509,starship,starship,unknown,Rust,2025-12-26T05:01:31Z,False,success
ant-design/ant-design,509,ant-design,ant-design,unknown,TypeScript,2025-12-26T06:08:41Z,False,success
qbittorrent/qBittorrent,508,qbittorrent,qBittorrent,unknown,C++,2025-12-22T04:14:39Z,False,success
miketromba/highest-paying-software-companies,507,miketromba,highest-paying-software-companies,unknown,,2024-10-01T19:00:38Z,False,success
LSPosed/LSPosed,505,LSPosed,LSPosed,unknown,Java,2025-03-04T21:28:36Z,False,success
epfLLM/meditron,505,epfLLM,meditron,unknown,Python,2024-04-10T11:48:37Z,False,success
wilsonfreitas/awesome-quant,505,wilsonfreitas,awesome-quant,unknown,Jupyter Notebook,2025-12-26T01:38:49Z,False,success
abetlen/llama-cpp-python,504,abetlen,llama-cpp-python,unknown,Python,2025-08-15T06:23:26Z,False,success
hunar4321/particle-life,504,hunar4321,particle-life,unknown,HTML,2024-08-29T15:55:32Z,False,success
bricks-cloud/BricksLLM,503,bricks-cloud,BricksLLM,unknown,Go,2025-01-05T23:47:45Z,False,success
rcmaehl/MSEdgeRedirect,502,rcmaehl,MSEdgeRedirect,unknown,AutoIt,2025-12-23T20:11:20Z,False,success
Yuliang-Liu/Monkey,502,Yuliang-Liu,Monkey,unknown,Python,2025-10-23T07:43:47Z,False,success
straight-tamago/misaka,502,straight-tamago,misaka,unknown,CSS,2024-09-16T02:06:02Z,False,success
jackhawks/rectg,502,jackhawks,rectg,unknown,JavaScript,2025-12-09T20:01:19Z,False,success
mifi/lossless-cut,500,mifi,lossless-cut,unknown,TypeScript,2025-12-19T07:15:07Z,False,success
cpacker/MemGPT,500,cpacker,MemGPT,unknown,Python,2025-12-18T23:52:29Z,False,success
eza-community/eza,499,eza-community,eza,unknown,Rust,2025-12-09T20:38:37Z,False,success
outline/outline,499,outline,outline,unknown,TypeScript,2025-12-25T21:04:59Z,False,success
siyuan-note/siyuan,499,siyuan-note,siyuan,unknown,TypeScript,2025-12-26T06:23:23Z,False,success
QSCTech/zju-icicles,498,QSCTech,zju-icicles,unknown,HTML,2025-12-15T11:07:24Z,False,success
chai-research/chaiverse,498,chai-research,chaiverse,unknown,Jupyter Notebook,2024-02-13T23:58:43Z,False,success
SYSTRAN/faster-whisper,497,SYSTRAN,faster-whisper,unknown,Python,2025-11-19T14:40:46Z,False,success
netdata/netdata,496,netdata,netdata,unknown,C,2025-12-23T00:16:19Z,False,success
koekeishiya/yabai,496,koekeishiya,yabai,unknown,C,2025-12-09T23:15:59Z,False,success
deepinsight/insightface,495,deepinsight,insightface,unknown,Python,2025-11-25T04:00:35Z,False,success
NVIDIA/TensorRT-LLM,495,NVIDIA,TensorRT-LLM,unknown,Python,2025-12-26T03:23:15Z,False,success
waydabber/BetterDisplay,494,waydabber,BetterDisplay,unknown,,2025-12-04T11:24:29Z,False,success
chaseSpace/k8s-tutorial-cn,494,chaseSpace,k8s-tutorial-cn,unknown,Makefile,2025-12-15T03:26:53Z,False,success
bradtraversy/50projects50days,492,bradtraversy,50projects50days,unknown,CSS,2025-02-26T13:49:39Z,False,success
coder/code-server,491,coder,code-server,unknown,TypeScript,2025-12-17T18:59:21Z,False,success
sindresorhus/awesome-nodejs,491,sindresorhus,awesome-nodejs,unknown,,2025-11-22T10:33:15Z,False,success
chongzhou96/EdgeSAM,491,chongzhou96,EdgeSAM,unknown,Jupyter Notebook,2025-05-24T07:54:29Z,False,success
XTLS/Xray-core,490,XTLS,Xray-core,unknown,Go,2025-12-25T01:46:02Z,False,success
MHSanaei/3x-ui,489,MHSanaei,3x-ui,unknown,HTML,2025-12-23T14:43:25Z,False,success
minio/minio,488,minio,minio,unknown,Go,2025-12-03T08:13:17Z,False,success
SafeBreach-Labs/PoolParty,488,SafeBreach-Labs,PoolParty,unknown,C++,2023-12-11T10:52:05Z,False,success
reworkd/AgentGPT,488,reworkd,AgentGPT,unknown,TypeScript,2025-04-29T01:19:32Z,False,success
lecepin/WeChatVideoDownloader,487,lecepin,WeChatVideoDownloader,unknown,,2024-05-15T13:58:22Z,True,success
apernet/hysteria,487,apernet,hysteria,unknown,Go,2025-12-13T21:37:02Z,False,success
paul-gauthier/aider,485,paul-gauthier,aider,unknown,Python,2025-12-18T18:37:29Z,False,success
elifgazioglu/doyouwannagooutwithme,484,elifgazioglu,doyouwannagooutwithme,unknown,HTML,2024-08-10T11:38:17Z,False,success
verida/verida-js,484,verida,verida-js,unknown,TypeScript,2025-04-15T11:34:58Z,False,success
CorentinJ/Real-Time-Voice-Cloning,484,CorentinJ,Real-Time-Voice-Cloning,unknown,Python,2025-12-15T12:47:13Z,False,success
Z4nzu/hackingtool,483,Z4nzu,hackingtool,unknown,Python,2025-10-14T06:02:19Z,False,success
WuKongOpenSource/Wukong_KnowledgeBase,483,WuKongOpenSource,Wukong_KnowledgeBase,unknown,Vue,2023-11-06T02:09:28Z,False,success
ClickHouse/ClickHouse,483,ClickHouse,ClickHouse,unknown,C++,2025-12-26T01:03:13Z,False,success
hashicorp/terraform,482,hashicorp,terraform,unknown,Go,2025-12-24T14:21:18Z,False,success
ekzhang/sshx,481,ekzhang,sshx,unknown,Rust,2025-06-19T14:09:18Z,False,success
ngosang/trackerslist,480,ngosang,trackerslist,unknown,,2025-12-25T23:08:35Z,False,success
Universidade-Livre/ciencia-da-computacao,480,Universidade-Livre,ciencia-da-computacao,unknown,,2025-10-15T23:28:20Z,False,success
MetaCubeX/ClashMetaForAndroid,478,MetaCubeX,ClashMetaForAndroid,unknown,Kotlin,2025-12-24T15:12:57Z,False,success
wenge-research/YAYI2,478,wenge-research,YAYI2,unknown,Python,2024-04-07T08:27:39Z,True,success
NvChad/NvChad,477,NvChad,NvChad,unknown,Lua,2025-12-21T06:53:43Z,False,success
GaiZhenbiao/ChuanhuChatGPT,477,GaiZhenbiao,ChuanhuChatGPT,unknown,Python,2025-08-15T02:25:50Z,False,success
SylarLong/iztro,477,SylarLong,iztro,unknown,TypeScript,2025-12-07T16:51:06Z,False,success
lstprjct/IDM-Activation-Script,477,lstprjct,IDM-Activation-Script,unknown,,,,not_found
Yanyutin753/PandoraNext-TokensTool,476,Yanyutin753,PandoraNext-TokensTool,unknown,Java,2024-03-15T08:55:26Z,True,success
chinesehuazhou/python-weekly,476,chinesehuazhou,python-weekly,unknown,TypeScript,2025-12-20T13:50:18Z,False,success
karpathy/llama2.c,475,karpathy,llama2.c,unknown,C,2024-08-06T09:44:40Z,False,success
bytedance/ImageDream,475,bytedance,ImageDream,unknown,Python,2024-01-27T19:33:26Z,False,success
cg123/mergekit,475,cg123,mergekit,unknown,Python,2025-12-17T17:15:45Z,False,success
primefaces/primevue,475,primefaces,primevue,unknown,Vue,2025-12-19T14:32:04Z,False,success
continuedev/continue,475,continuedev,continue,unknown,TypeScript,2025-12-25T09:37:02Z,False,success
hua1995116/indiehackers-steps,474,hua1995116,indiehackers-steps,unknown,,2025-07-21T02:20:05Z,False,success
sharkdp/fd,474,sharkdp,fd,unknown,Rust,2025-12-25T15:04:24Z,False,success
josephmisiti/awesome-machine-learning,474,josephmisiti,awesome-machine-learning,unknown,Python,2025-10-28T17:49:09Z,False,success
go-gitea/gitea,474,go-gitea,gitea,unknown,Go,2025-12-26T04:49:10Z,False,success
doocs/leetcode,474,doocs,leetcode,unknown,Java,2025-12-26T00:38:44Z,False,success
nextauthjs/next-auth,474,nextauthjs,next-auth,unknown,TypeScript,2025-12-12T15:35:36Z,False,success
