repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status
babaohuang/GeminiProChat,2734,babaohuang,GeminiProChat,unknown,TypeScript,2025-09-11T14:33:13Z,False,success
langchain-ai/langchain,2711,langchain-ai,langchain,unknown,Python,2025-12-26T05:10:50Z,False,success
JJTech0130/pypush,2586,JJTech0130,pypush,unknown,Python,2025-07-16T16:59:13Z,False,success
mlabonne/llm-course,2566,mlabonne,llm-course,unknown,,2025-12-22T00:08:18Z,False,success
donnemartin/system-design-primer,2548,donnemartin,system-design-primer,unknown,Python,2025-11-03T12:06:22Z,False,success
KRTirtho/spotube,2545,KRTirtho,spotube,unknown,Dart,2025-12-12T11:10:55Z,False,success
ggerganov/llama.cpp,2538,ggerganov,llama.cpp,unknown,C++,2025-12-26T04:22:20Z,False,success
open-mmlab/Amphion,2524,open-mmlab,Amphion,unknown,Python,2025-05-27T06:35:05Z,False,success
clash-verge-rev/clash-verge-rev,2521,clash-verge-rev,clash-verge-rev,unknown,TypeScript,2025-12-26T06:04:40Z,False,success
federico-busato/Modern-CPP-Programming,2476,federico-busato,Modern-CPP-Programming,unknown,HTML,2025-11-19T19:17:50Z,False,success
damo-vilab/AnyDoor,2464,damo-vilab,AnyDoor,unknown,Python,2024-04-08T06:31:26Z,False,success
mnotgod96/AppAgent,2397,mnotgod96,AppAgent,unknown,Python,2025-03-19T11:01:38Z,False,success
FuelLabs/sway,2392,FuelLabs,sway,unknown,Rust,2025-12-19T13:51:52Z,False,success
microsoft/ML-For-Beginners,2380,microsoft,ML-For-Beginners,unknown,Jupyter Notebook,2025-12-25T02:47:05Z,False,success
EbookFoundation/free-programming-books,2353,EbookFoundation,free-programming-books,unknown,Python,2025-12-16T14:12:26Z,False,success
oxc-project/oxc,2350,oxc-project,oxc,unknown,Rust,2025-12-26T03:44:26Z,False,success
bgstaal/multipleWindow3dScene,2346,bgstaal,multipleWindow3dScene,unknown,JavaScript,2023-11-29T18:41:08Z,False,success
HuolalaTech/page-spy-web,2325,HuolalaTech,page-spy-web,unknown,TypeScript,2025-12-03T03:04:19Z,False,success
makeplane/plane,2309,makeplane,plane,unknown,TypeScript,2025-12-24T15:33:24Z,False,success
Stability-AI/generative-models,2303,Stability-AI,generative-models,unknown,Python,2025-12-16T08:36:18Z,False,success
GrowingGit/GitHub-Chinese-Top-Charts,2298,GrowingGit,GitHub-Chinese-Top-Charts,unknown,Java,2024-10-12T06:51:36Z,False,success
localsend/localsend,2288,localsend,localsend,unknown,Dart,2025-11-19T21:23:26Z,False,success
Nukem9/dlssg-to-fsr3,2281,Nukem9,dlssg-to-fsr3,unknown,C++,2025-03-16T18:56:26Z,False,success
f/awesome-chatgpt-prompts,2253,f,awesome-chatgpt-prompts,unknown,TypeScript,2025-12-26T03:34:32Z,False,success
BuilderIO/gpt-crawler,2228,BuilderIO,gpt-crawler,unknown,TypeScript,2025-07-07T15:35:16Z,False,success
excalidraw/excalidraw,2225,excalidraw,excalidraw,unknown,TypeScript,2025-12-24T04:39:13Z,False,success
AmruthPillai/Reactive-Resume,2207,AmruthPillai,Reactive-Resume,unknown,TypeScript,2025-12-26T00:12:13Z,False,success
ashishps1/awesome-system-design-resources,2202,ashishps1,awesome-system-design-resources,unknown,Java,2025-12-25T13:55:22Z,False,success
xaoyaoo/PyWxDump,2183,xaoyaoo,PyWxDump,unknown,,2025-10-20T10:36:39Z,False,success
microsoft/TaskWeaver,2138,microsoft,TaskWeaver,unknown,Python,2025-12-15T09:07:13Z,False,success
JoeanAmier/TikTokDownloader,2133,JoeanAmier,TikTokDownloader,unknown,Python,2025-12-16T04:23:35Z,False,success
chatanywhere/GPT_API_free,2125,chatanywhere,GPT_API_free,unknown,Python,2025-12-15T18:33:09Z,False,success
openai/weak-to-strong,2123,openai,weak-to-strong,unknown,Python,2024-05-19T23:30:56Z,False,success
geekan/MetaGPT,2119,geekan,MetaGPT,unknown,Python,2025-10-04T05:57:57Z,False,success
typehero/typehero,2092,typehero,typehero,unknown,TypeScript,2025-12-12T16:00:19Z,False,success
ChatGPTNextWeb/ChatGPT-Next-Web,2085,ChatGPTNextWeb,ChatGPT-Next-Web,unknown,TypeScript,2025-12-02T17:05:02Z,False,success
AppFlowy-IO/AppFlowy,2080,AppFlowy-IO,AppFlowy,unknown,Dart,2025-12-22T07:25:21Z,False,success
jackfrued/Python-100-Days,2076,jackfrued,Python-100-Days,unknown,Jupyter Notebook,2025-12-18T12:06:15Z,False,success
a-h/templ,2071,a-h,templ,unknown,Go,2025-10-19T14:42:45Z,False,success
AvaloniaUI/Avalonia,2032,AvaloniaUI,Avalonia,unknown,C#,2025-12-23T12:38:33Z,False,success
immich-app/immich,2023,immich-app,immich,unknown,TypeScript,2025-12-26T04:29:33Z,False,success
francoismichel/ssh3,2018,francoismichel,ssh3,unknown,Go,2024-09-04T08:49:04Z,False,success
oobabooga/text-generation-webui,2013,oobabooga,text-generation-webui,unknown,Python,2025-12-22T20:15:50Z,False,success
AleoHQ/leo,2007,AleoHQ,leo,unknown,Rust,2025-12-24T02:11:21Z,False,success
freeCodeCamp/freeCodeCamp,1997,freeCodeCamp,freeCodeCamp,unknown,TypeScript,2025-12-25T21:01:56Z,False,success
vllm-project/vllm,1981,vllm-project,vllm,unknown,Python,2025-12-26T05:10:39Z,False,success
chriskiehl/Gooey,1961,chriskiehl,Gooey,unknown,Python,2025-07-12T11:24:40Z,False,success
sdmg15/Best-websites-a-programmer-should-visit,1936,sdmg15,Best-websites-a-programmer-should-visit,unknown,,2025-09-16T18:34:24Z,True,success
loco-rs/loco,1926,loco-rs,loco,unknown,Rust,2025-12-23T08:35:06Z,False,success
xuchengsheng/spring-reading,1916,xuchengsheng,spring-reading,unknown,Java,2024-07-29T06:13:59Z,False,success
labmlai/annotated_deep_learning_paper_implementations,1911,labmlai,annotated_deep_learning_paper_implementations,unknown,Python,2025-11-11T09:22:41Z,False,success
heyman/heynote,1909,heyman,heynote,unknown,JavaScript,2025-12-26T01:28:45Z,False,success
openai/whisper,1904,openai,whisper,unknown,Python,2025-12-15T10:18:21Z,False,success
DataEngineer-io/data-engineer-handbook,1900,DataEngineer-io,data-engineer-handbook,unknown,Jupyter Notebook,2025-12-15T22:32:39Z,False,success
yt-dlp/yt-dlp,1893,yt-dlp,yt-dlp,unknown,Python,2025-12-25T01:25:03Z,False,success
biomejs/biome,1890,biomejs,biome,unknown,Rust,2025-12-25T13:40:59Z,False,success
jwasham/coding-interview-university,1888,jwasham,coding-interview-university,unknown,,2025-08-28T14:42:47Z,False,success
2dust/v2rayN,1885,2dust,v2rayN,unknown,C#,2025-12-25T10:36:25Z,False,success
binary-husky/gpt_academic,1878,binary-husky,gpt_academic,unknown,Python,2025-09-20T13:41:26Z,False,success
avelino/awesome-go,1857,avelino,awesome-go,unknown,Go,2025-12-09T03:09:08Z,False,success
ossu/computer-science,1844,ossu,computer-science,unknown,HTML,2025-08-23T18:48:52Z,False,success
charmbracelet/huh,1834,charmbracelet,huh,unknown,Go,2025-12-21T00:19:36Z,False,success
unslothai/unsloth,1833,unslothai,unsloth,unknown,Python,2025-12-26T02:46:14Z,False,success
Significant-Gravitas/AutoGPT,1831,Significant-Gravitas,AutoGPT,unknown,Python,2025-12-25T23:25:30Z,False,success
florinpop17/app-ideas,1808,florinpop17,app-ideas,unknown,,2025-10-11T14:51:21Z,False,success
huggingface/transformers,1786,huggingface,transformers,unknown,Python,2025-12-24T15:30:27Z,False,success
facebookresearch/Pearl,1772,facebookresearch,Pearl,unknown,Jupyter Notebook,2025-11-03T23:29:02Z,False,success
ollama-webui/ollama-webui,1768,ollama-webui,ollama-webui,unknown,Svelte,2025-12-25T23:32:14Z,False,success
langgenius/dify,1763,langgenius,dify,unknown,TypeScript,2025-12-26T06:02:00Z,False,success
DopplerHQ/awesome-interview-questions,1755,DopplerHQ,awesome-interview-questions,unknown,,2024-07-29T14:21:23Z,True,success
labring/FastGPT,1753,labring,FastGPT,unknown,TypeScript,2025-12-25T13:33:35Z,False,success
anoma/namada,1713,anoma,namada,unknown,Rust,2025-12-22T12:23:40Z,False,success
microsoft/PowerToys,1709,microsoft,PowerToys,unknown,C#,2025-12-26T06:03:02Z,False,success
jaywcjlove/awesome-mac,1705,jaywcjlove,awesome-mac,unknown,JavaScript,2025-12-25T16:19:59Z,False,success
samuelcolvin/FastUI,1702,samuelcolvin,FastUI,unknown,Python,2025-11-01T04:04:13Z,False,success
imartinez/privateGPT,1693,imartinez,privateGPT,unknown,Python,2024-11-13T19:30:32Z,False,success
torvalds/linux,1665,torvalds,linux,unknown,C,2025-12-24T18:57:02Z,False,success
LouisShark/chatgpt_system_prompt,1653,LouisShark,chatgpt_system_prompt,unknown,HTML,2025-12-23T15:53:47Z,False,success
tldraw/tldraw,1651,tldraw,tldraw,unknown,TypeScript,2025-12-26T02:33:52Z,False,success
BottleSome/AutoApiSecret,1646,BottleSome,AutoApiSecret,unknown,,,,rate_limited
jlevy/the-art-of-command-line,1642,jlevy,the-art-of-command-line,unknown,,2024-06-25T18:13:44Z,False,success
StanGirard/quivr,1641,StanGirard,quivr,unknown,Python,2025-07-09T12:55:23Z,False,success
Yidadaa/ChatGPT-Next-Web,1632,Yidadaa,ChatGPT-Next-Web,unknown,TypeScript,2025-12-02T17:05:02Z,False,success
OwshenNetwork/owshen,1587,OwshenNetwork,owshen,unknown,Rust,2024-10-06T14:33:48Z,False,success
521xueweihan/HelloGitHub,1583,521xueweihan,HelloGitHub,unknown,Python,2025-12-26T00:45:37Z,False,success
microsoft/autogen,1582,microsoft,autogen,unknown,Python,2025-10-08T04:58:17Z,False,success
mli/paper-reading,1571,mli,paper-reading,unknown,,2025-03-22T03:49:35Z,False,success
songquanpeng/one-api,1564,songquanpeng,one-api,unknown,JavaScript,2025-11-20T01:15:39Z,False,success
kuchin/awesome-cto,1551,kuchin,awesome-cto,unknown,,2025-08-03T09:52:36Z,False,success
THUDM/ChatGLM3,1543,THUDM,ChatGLM3,unknown,Python,2025-01-13T06:55:26Z,False,success
damo-vilab/i2vgen-xl,1517,damo-vilab,i2vgen-xl,unknown,Python,2025-01-10T09:09:13Z,False,success
ruanyf/weekly,1516,ruanyf,weekly,unknown,,2025-12-26T00:08:03Z,False,success
paperless-ngx/paperless-ngx,1509,paperless-ngx,paperless-ngx,unknown,Python,2025-12-26T00:38:30Z,False,success
bigskysoftware/htmx,1507,bigskysoftware,htmx,unknown,JavaScript,2025-12-24T21:25:25Z,False,success
ast-grep/ast-grep,1499,ast-grep,ast-grep,unknown,Rust,2025-12-26T02:08:35Z,False,success
hiyouga/LLaMA-Factory,1491,hiyouga,LLaMA-Factory,unknown,Python,2025-12-24T18:11:05Z,False,success
usebruno/bruno,1486,usebruno,bruno,unknown,JavaScript,2025-12-25T09:46:34Z,False,success
mistralai/mistral-src,1480,mistralai,mistral-src,unknown,Jupyter Notebook,2025-11-21T11:07:09Z,False,success
fujiapple852/trippy,1476,fujiapple852,trippy,unknown,Rust,2025-12-24T02:04:05Z,False,success
facebookresearch/llama,1473,facebookresearch,llama,unknown,Python,2025-01-26T21:42:26Z,False,success
lukas-blecher/LaTeX-OCR,1466,lukas-blecher,LaTeX-OCR,unknown,Python,2025-01-18T15:23:58Z,False,success
hiroi-sora/Umi-OCR,1458,hiroi-sora,Umi-OCR,unknown,Python,2025-11-20T14:58:13Z,False,success
FuelLabs/fuel-core,1451,FuelLabs,fuel-core,unknown,Rust,2025-12-25T16:01:08Z,False,success
pocketbase/pocketbase,1451,pocketbase,pocketbase,unknown,Go,2025-12-21T07:41:02Z,False,success
opa334/TrollStore,1447,opa334,TrollStore,unknown,Objective-C,2024-09-02T11:28:18Z,False,success
danny-avila/LibreChat,1446,danny-avila,LibreChat,unknown,TypeScript,2025-12-26T01:42:53Z,False,success
run-llama/llama_index,1445,run-llama,llama_index,unknown,Python,2025-12-25T03:27:46Z,False,success
Genymobile/scrcpy,1428,Genymobile,scrcpy,unknown,C,2025-12-22T07:18:23Z,False,success
iptv-org/iptv,1428,iptv-org,iptv,unknown,TypeScript,2025-12-26T00:13:20Z,False,success
AmrDeveloper/GQL,1426,AmrDeveloper,GQL,unknown,Rust,2025-12-21T20:57:25Z,False,success
nodejs/node,1425,nodejs,node,unknown,JavaScript,2025-12-25T10:45:08Z,False,success
Coder-World04/Complete-System-Design,1425,Coder-World04,Complete-System-Design,unknown,,2024-10-06T03:04:24Z,False,success
PKUFlyingPig/cs-self-learning,1415,PKUFlyingPig,cs-self-learning,unknown,HTML,2025-11-28T02:54:02Z,False,success
TabbyML/tabby,1413,TabbyML,tabby,unknown,Rust,2025-12-26T05:05:15Z,False,success
trekhleb/javascript-algorithms,1401,trekhleb,javascript-algorithms,unknown,JavaScript,2025-11-23T04:20:03Z,False,success
Librum-Reader/Librum,1400,Librum-Reader,Librum,unknown,C++,2025-07-08T02:38:23Z,False,success
rustdesk/rustdesk,1399,rustdesk,rustdesk,unknown,Rust,2025-12-26T05:31:50Z,False,success
coqui-ai/TTS,1398,coqui-ai,TTS,unknown,Python,2024-08-16T12:07:14Z,False,success
payloadcms/payload,1395,payloadcms,payload,unknown,TypeScript,2025-12-23T16:54:27Z,False,success
ise-uiuc/magicoder,1384,ise-uiuc,magicoder,unknown,Python,2024-11-01T17:28:52Z,False,success
firstcontributions/first-contributions,1381,firstcontributions,first-contributions,unknown,,2025-12-26T04:52:41Z,False,success
PRIS-CV/DemoFusion,1379,PRIS-CV,DemoFusion,unknown,Jupyter Notebook,2025-10-10T01:33:13Z,False,success
johnma2006/mamba-minimal,1379,johnma2006,mamba-minimal,unknown,Python,2024-03-08T04:13:40Z,False,success
papers-we-love/papers-we-love,1377,papers-we-love,papers-we-love,unknown,Shell,2025-10-10T15:35:14Z,False,success
