repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status,api_status,code_review_score,has_code_of_conduct,has_contributing,has_issue_template,has_license,has_pull_request_template,has_readme,health_percentage,maintained_score,overall_score,median_issue_response_days,median_pr_review_days,total_commits,unique_contributors,forks_count,network_count,stars_count,status,watchers_count,bus_factor,contributor_diversity_gini,num_contributors
LiLittleCat/awesome-free-chatgpt,LiLittleCat,awesome-free-chatgpt,1116,Python,2025-06-23T12:16:37Z,False,sustainable,success,,False,False,False,True,False,True,57,,,11.166666666666666,44.625,54.0,1.0,1404,1404,20708,success,153,1.0,0.8894,21
BerriAI/litellm,BerriAI,litellm,751,Python,2025-12-26T02:32:55Z,False,sustainable,success,,False,True,False,True,True,True,87,,,0.3333333333333333,0.0416666666666666,1363570.0,4.0,5143,5143,32966,success,151,2.0,0.9468,300
flet-dev/flet,flet-dev,flet,382,Python,2025-12-25T01:09:58Z,False,sustainable,success,,True,True,False,True,True,True,75,,,0.4166666666666666,0.0,11121.0,3.0,601,601,15086,success,137,2.0,0.9099,77
SqueezeAILab/LLMCompiler,SqueezeAILab,LLMCompiler,597,Python,2024-07-10T04:39:34Z,False,sustainable,success,,False,False,False,True,False,True,37,,,10.916666666666666,,49.0,1.0,124,124,1806,success,24,1.0,0.6934,4
haotian-liu/LLaVA,haotian-liu,LLaVA,1059,Python,2024-08-12T09:52:38Z,False,sustainable,success,,False,False,False,True,False,True,42,,,2.833333333333333,1.5833333333333333,58.0,2.0,2692,2692,24219,success,158,2.0,0.8673,47
OthersideAI/self-operating-computer,OthersideAI,self-operating-computer,2966,Python,2025-09-19T19:31:39Z,False,sustainable,success,,False,True,False,True,True,True,62,,,2.333333333333333,,363.0,1.0,1390,1390,10040,success,132,1.0,0.899,26
graphdeco-inria/gaussian-splatting,graphdeco-inria,gaussian-splatting,1058,Python,2025-10-17T14:28:15Z,False,sustainable,success,,False,False,False,True,False,True,37,,,1.0,92.04166666666669,27.0,3.0,2844,2844,20089,success,135,3.0,0.6878,12
zhayujie/chatgpt-on-wechat,zhayujie,chatgpt-on-wechat,1317,Python,2025-10-22T10:32:10Z,False,sustainable,success,,False,False,False,True,False,True,42,,,1.9583333333333333,8.041666666666666,334.0,3.0,9589,9589,40313,success,278,6.0,0.8585,78
Rudrabha/Wav2Lip,Rudrabha,Wav2Lip,305,Python,2025-06-22T02:41:21Z,False,sustainable,success,0.0,False,False,False,False,False,True,28,0.0,1.3,9.625,,8.0,2.0,2759,2759,12715,success,181,2.0,0.708,9
explosion/spaCy,explosion,spaCy,229,Python,2025-11-27T18:55:46Z,False,sustainable,success,1.0,False,True,False,True,True,True,62,10.0,3.9,1.6666666666666667,1.2916666666666667,20731.0,5.0,4630,4630,32997,success,565,5.0,0.9327,300
TomSchimansky/CustomTkinter,TomSchimansky,CustomTkinter,303,Python,2025-10-11T22:15:41Z,False,sustainable,success,,False,False,False,True,False,True,42,,,0.3333333333333333,9.166666666666666,8.0,1.0,1154,1154,13001,success,123,1.0,0.8475,9
Lightning-AI/lit-gpt,Lightning-AI,lit-gpt,672,Python,2025-12-18T15:51:48Z,False,sustainable,success,,False,False,False,True,False,True,50,,,0.1666666666666666,0.0833333333333333,1117.0,6.0,1386,1386,13057,success,115,8.0,0.8618,117
psf/black,psf,black,240,Python,2025-12-26T06:02:10Z,False,sustainable,success,6.0,True,True,False,True,True,True,87,10.0,6.6,0.0,0.125,6122.0,7.0,2693,2693,41252,success,231,36.0,0.7876,300
ihmily/DouyinLiveRecorder,ihmily,DouyinLiveRecorder,360,Python,2025-11-03T11:55:52Z,False,sustainable,success,,False,False,False,True,True,True,57,,,0.2083333333333333,,246.0,1.0,1181,1181,8996,success,60,1.0,0.8894,20
mindsdb/mindsdb,mindsdb,mindsdb,325,Python,2025-12-25T16:21:40Z,False,sustainable,success,9.0,True,True,False,True,True,True,100,10.0,5.6,0.7083333333333333,0.4166666666666666,598735.0,20.0,6075,6075,38124,success,442,12.0,0.9102,300
z1069614715/objectdetection_script,z1069614715,objectdetection_script,244,Python,2025-12-26T01:48:43Z,False,sustainable,success,,False,False,False,False,False,True,28,,,60.583333333333336,,166.0,1.0,561,561,6939,success,25,1.0,0.4864,2
spipm/Depix,spipm,Depix,239,Python,2025-04-16T06:48:01Z,False,sustainable,success,,False,False,False,True,False,True,42,,,,,,,281,281,3771,success,18,3.0,0.6423,10
state-spaces/mamba,state-spaces,mamba,3788,Python,2025-12-23T14:51:12Z,False,sustainable,success,,False,False,False,True,False,True,37,,,0.2083333333333333,0.25,88.0,2.0,1547,1547,16815,success,104,7.0,0.7234,43
imoneoi/openchat,imoneoi,openchat,594,Python,2024-09-13T07:46:22Z,False,sustainable,success,,False,False,False,True,False,True,57,,,3.333333333333333,0.25,969.0,2.0,434,434,5466,success,49,2.0,0.8516,15
QwenLM/Qwen,QwenLM,Qwen,1322,Python,2025-11-26T13:48:46Z,False,sustainable,success,0.0,False,False,False,True,False,True,37,1.0,3.8,0.25,0.0416666666666666,553.0,8.0,1675,1675,20029,success,139,5.0,0.8017,31
predibase/lorax,predibase,lorax,231,Python,2025-05-21T17:40:25Z,False,sustainable,success,,False,False,False,True,True,True,50,,,0.75,0.0,16901.0,14.0,296,296,3618,success,35,7.0,0.8344,64
FedML-AI/FedML,FedML-AI,FedML,540,Python,2025-10-28T12:44:12Z,False,sustainable,success,9.0,True,True,False,True,False,True,62,0.0,4.9,1.0833333333333333,0.0416666666666666,158796.0,9.0,763,763,3992,success,91,6.0,0.8883,64
NVIDIA/TensorRT-LLM,NVIDIA,TensorRT-LLM,495,Python,2025-12-26T03:23:15Z,False,sustainable,success,,True,True,False,True,True,True,75,,,1.3333333333333333,0.0,417.0,10.0,1979,1979,12481,success,121,82.0,0.6799,300
CircleRadon/Osprey,CircleRadon,Osprey,445,Python,2025-08-19T05:52:00Z,False,sustainable,success,,False,False,False,True,False,True,42,,,0.625,,18.0,2.0,43,43,837,success,12,2.0,0.0714,2
Ucas-HaoranWei/Vary,Ucas-HaoranWei,Vary,1012,Python,2024-12-30T07:43:26Z,False,sustainable,success,,False,False,False,False,False,True,28,,,0.1666666666666666,,29.0,1.0,144,144,1887,success,38,1.0,1.0,1
Kr1s77/awesome-python-login-model,Kr1s77,awesome-python-login-model,16226,Python,2022-07-26T16:22:57Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,0.0,,,,3281,3281,16226,success,445,1.0,0.8306,10
isl-org/MiDaS,isl-org,MiDaS,5277,Python,2024-08-23T10:21:06Z,True,non_sustainable,success,6.0,False,False,False,True,False,True,50,0.0,4.3,1.6666666666666667,0.0,2.0,1.0,713,713,5277,success,69,3.0,0.7013,13
TheSpeedX/TBomb,TheSpeedX,TBomb,5225,Python,2025-06-18T19:36:07Z,True,non_sustainable,success,6.0,False,False,False,True,True,True,57,0.0,3.0,0.9166666666666666,64.125,,,1815,1815,5225,success,439,2.0,0.7403,9
google-deepmind/graph_nets,google-deepmind,graph_nets,5390,Python,2022-12-12T11:28:07Z,False,non_sustainable,success,,False,True,False,True,False,True,50,,,0.0,,,,784,784,5390,success,220,2.0,0.6553,11
Kr1s77/Python-crawler-tutorial-starts-from-zero,Kr1s77,Python-crawler-tutorial-starts-from-zero,4547,Python,2020-12-02T03:01:29Z,False,non_sustainable,success,,False,False,False,False,False,True,28,,,0.6897337962962963,,,,760,760,4548,success,160,1.0,0.6731,4
pandolia/qqbot,pandolia,qqbot,3690,Python,2020-08-23T07:47:42Z,True,non_sustainable,success,1.0,False,False,False,True,False,True,42,0.0,2.8,0.1118171296296296,,,,865,865,3690,success,188,1.0,0.895,20
SpiderClub/haipproxy,SpiderClub,haipproxy,5574,Python,2022-12-26T11:50:58Z,False,non_sustainable,success,1.0,False,False,False,True,False,True,37,0.0,1.7,78.53440972222222,,,,907,907,5574,success,204,1.0,0.8238,7
MorvanZhou/tutorials,MorvanZhou,tutorials,12745,Python,2020-12-22T22:02:58Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,0.0640277777777777,,,,5716,5716,12746,success,659,1.0,0.7892,5
lyhue1991/eat_tensorflow2_in_30_days,lyhue1991,eat_tensorflow2_in_30_days,9987,Python,2022-09-22T03:18:54Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,58.68976851851852,,,,2463,2463,9987,success,266,2.0,0.4657,3
sfyc23/EverydayWechat,sfyc23,EverydayWechat,10261,Python,2021-06-22T02:56:06Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,8.341724537037036,,,,2313,2313,10263,success,204,2.0,0.8217,13
stewartmcgown/uds,stewartmcgown,uds,4371,Python,2021-11-02T07:51:47Z,False,non_sustainable,success,6.0,True,True,False,True,False,True,85,0.0,2.5,0.1475578703703703,,,,275,275,4371,success,74,4.0,0.7573,20
