repo_name,stars,owner,repo,sustainability_status
AppFlowy-IO/AppFlowy,2080,AppFlowy-IO,AppFlowy,unknown
jackfrued/Python-100-Days,2076,jackfrued,Python-100-Days,unknown
a-h/templ,2071,a-h,templ,unknown
AvaloniaUI/Avalonia,2032,AvaloniaUI,Avalonia,unknown
immich-app/immich,2023,immich-app,immich,unknown
francoismichel/ssh3,2018,francoismichel,ssh3,unknown
oobabooga/text-generation-webui,2013,oobabooga,text-generation-webui,unknown
AleoHQ/leo,2007,AleoHQ,leo,unknown
freeCodeCamp/freeCodeCamp,1997,freeCodeCamp,freeCodeCamp,unknown
vllm-project/vllm,1981,vllm-project,vllm,unknown
chriskiehl/Gooey,1961,chriskiehl,Gooey,unknown
sdmg15/Best-websites-a-programmer-should-visit,1936,sdmg15,Best-websites-a-programmer-should-visit,unknown
loco-rs/loco,1926,loco-rs,loco,unknown
xuchengsheng/spring-reading,1916,xuchengsheng,spring-reading,unknown
labmlai/annotated_deep_learning_paper_implementations,1911,labmlai,annotated_deep_learning_paper_implementations,unknown
heyman/heynote,1909,heyman,heynote,unknown
openai/whisper,1904,openai,whisper,unknown
DataEngineer-io/data-engineer-handbook,1900,DataEngineer-io,data-engineer-handbook,unknown
yt-dlp/yt-dlp,1893,yt-dlp,yt-dlp,unknown
biomejs/biome,1890,biomejs,biome,unknown
jwasham/coding-interview-university,1888,jwasham,coding-interview-university,unknown
2dust/v2rayN,1885,2dust,v2rayN,unknown
binary-husky/gpt_academic,1878,binary-husky,gpt_academic,unknown
avelino/awesome-go,1857,avelino,awesome-go,unknown
ossu/computer-science,1844,ossu,computer-science,unknown
charmbracelet/huh,1834,charmbracelet,huh,unknown
unslothai/unsloth,1833,unslothai,unsloth,unknown
Significant-Gravitas/AutoGPT,1831,Significant-Gravitas,AutoGPT,unknown
florinpop17/app-ideas,1808,florinpop17,app-ideas,unknown
huggingface/transformers,1786,huggingface,transformers,unknown
facebookresearch/Pearl,1772,facebookresearch,Pearl,unknown
ollama-webui/ollama-webui,1768,ollama-webui,ollama-webui,unknown
langgenius/dify,1763,langgenius,dify,unknown
DopplerHQ/awesome-interview-questions,1755,DopplerHQ,awesome-interview-questions,unknown
labring/FastGPT,1753,labring,FastGPT,unknown
anoma/namada,1713,anoma,namada,unknown
microsoft/PowerToys,1709,microsoft,PowerToys,unknown
jaywcjlove/awesome-mac,1705,jaywcjlove,awesome-mac,unknown
samuelcolvin/FastUI,1702,samuelcolvin,FastUI,unknown
imartinez/privateGPT,1693,imartinez,privateGPT,unknown
torvalds/linux,1665,torvalds,linux,unknown
LouisShark/chatgpt_system_prompt,1653,LouisShark,chatgpt_system_prompt,unknown
tldraw/tldraw,1651,tldraw,tldraw,unknown
BottleSome/AutoApiSecret,1646,BottleSome,AutoApiSecret,unknown
jlevy/the-art-of-command-line,1642,jlevy,the-art-of-command-line,unknown
StanGirard/quivr,1641,StanGirard,quivr,unknown
Yidadaa/ChatGPT-Next-Web,1632,Yidadaa,ChatGPT-Next-Web,unknown
OwshenNetwork/owshen,1587,OwshenNetwork,owshen,unknown
521xueweihan/HelloGitHub,1583,521xueweihan,HelloGitHub,unknown
microsoft/autogen,1582,microsoft,autogen,unknown
mli/paper-reading,1571,mli,paper-reading,unknown
songquanpeng/one-api,1564,songquanpeng,one-api,unknown
kuchin/awesome-cto,1551,kuchin,awesome-cto,unknown
THUDM/ChatGLM3,1543,THUDM,ChatGLM3,unknown
damo-vilab/i2vgen-xl,1517,damo-vilab,i2vgen-xl,unknown
ruanyf/weekly,1516,ruanyf,weekly,unknown
paperless-ngx/paperless-ngx,1509,paperless-ngx,paperless-ngx,unknown
bigskysoftware/htmx,1507,bigskysoftware,htmx,unknown
ast-grep/ast-grep,1499,ast-grep,ast-grep,unknown
hiyouga/LLaMA-Factory,1491,hiyouga,LLaMA-Factory,unknown
usebruno/bruno,1486,usebruno,bruno,unknown
mistralai/mistral-src,1480,mistralai,mistral-src,unknown
fujiapple852/trippy,1476,fujiapple852,trippy,unknown
facebookresearch/llama,1473,facebookresearch,llama,unknown
lukas-blecher/LaTeX-OCR,1466,lukas-blecher,LaTeX-OCR,unknown
hiroi-sora/Umi-OCR,1458,hiroi-sora,Umi-OCR,unknown
FuelLabs/fuel-core,1451,FuelLabs,fuel-core,unknown
pocketbase/pocketbase,1451,pocketbase,pocketbase,unknown
opa334/TrollStore,1447,opa334,TrollStore,unknown
danny-avila/LibreChat,1446,danny-avila,LibreChat,unknown
run-llama/llama_index,1445,run-llama,llama_index,unknown
Genymobile/scrcpy,1428,Genymobile,scrcpy,unknown
iptv-org/iptv,1428,iptv-org,iptv,unknown
AmrDeveloper/GQL,1426,AmrDeveloper,GQL,unknown
nodejs/node,1425,nodejs,node,unknown
Coder-World04/Complete-System-Design,1425,Coder-World04,Complete-System-Design,unknown
PKUFlyingPig/cs-self-learning,1415,PKUFlyingPig,cs-self-learning,unknown
TabbyML/tabby,1413,TabbyML,tabby,unknown
trekhleb/javascript-algorithms,1401,trekhleb,javascript-algorithms,unknown
Librum-Reader/Librum,1400,Librum-Reader,Librum,unknown
rustdesk/rustdesk,1399,rustdesk,rustdesk,unknown
coqui-ai/TTS,1398,coqui-ai,TTS,unknown
payloadcms/payload,1395,payloadcms,payload,unknown
ise-uiuc/magicoder,1384,ise-uiuc,magicoder,unknown
firstcontributions/first-contributions,1381,firstcontributions,first-contributions,unknown
PRIS-CV/DemoFusion,1379,PRIS-CV,DemoFusion,unknown
johnma2006/mamba-minimal,1379,johnma2006,mamba-minimal,unknown
papers-we-love/papers-we-love,1377,papers-we-love,papers-we-love,unknown
refilc/naplo,1374,refilc,naplo,unknown
jmpoep/vmprotect-3.5.1,1365,jmpoep,vmprotect-3.5.1,unknown
JushBJJ/Mr.-Ranedeer-AI-Tutor,1356,JushBJJ,Mr.-Ranedeer-AI-Tutor,unknown
chokcoco/iCSS,1352,chokcoco,iCSS,unknown
xtekky/gpt4free,1351,xtekky,gpt4free,unknown
threestudio-project/threestudio,1348,threestudio-project,threestudio,unknown
ultralytics/ultralytics,1337,ultralytics,ultralytics,unknown
QwenLM/Qwen,1322,QwenLM,Qwen,unknown
zhayujie/chatgpt-on-wechat,1317,zhayujie,chatgpt-on-wechat,unknown
louislam/uptime-kuma,1315,louislam,uptime-kuma,unknown
d2l-ai/d2l-zh,1314,d2l-ai,d2l-zh,unknown
sherlock-project/sherlock,1307,sherlock-project,sherlock,unknown
Avaiga/taipy,1305,Avaiga,taipy,unknown
MetaCubeX/mihomo,1302,MetaCubeX,mihomo,unknown
jasonjmcghee/rem,1282,jasonjmcghee,rem,unknown
karpathy/nanoGPT,1278,karpathy,nanoGPT,unknown
MunGell/awesome-for-beginners,1278,MunGell,awesome-for-beginners,unknown
PlexPt/awesome-chatgpt-prompts-zh,1273,PlexPt,awesome-chatgpt-prompts-zh,unknown
chatchat-space/Langchain-Chatchat,1263,chatchat-space,Langchain-Chatchat,unknown
JoeanAmier/XHS-Downloader,1251,JoeanAmier,XHS-Downloader,unknown
udecode/plate,1251,udecode,plate,unknown
krishnaik06/Roadmap-To-Learn-Generative-AI-In-2024,1251,krishnaik06,Roadmap-To-Learn-Generative-AI-In-2024,unknown
Vaibhavs10/insanely-fast-whisper,1239,Vaibhavs10,insanely-fast-whisper,unknown
ripienaar/free-for-dev,1236,ripienaar,free-for-dev,unknown
tiangolo/fastapi,1223,tiangolo,fastapi,unknown
facebook/react,1212,facebook,react,unknown
yangshun/tech-interview-handbook,1196,yangshun,tech-interview-handbook,unknown
anfragment/zen,1190,anfragment,zen,unknown
GoogleCloudPlatform/generative-ai,1188,GoogleCloudPlatform,generative-ai,unknown
microsoft/LLMLingua,1185,microsoft,LLMLingua,unknown
twentyhq/twenty,1182,twentyhq,twenty,unknown
Snoopy1866/LiTiaotiao-Custom-Rules,1180,Snoopy1866,LiTiaotiao-Custom-Rules,unknown
kilimchoi/engineering-blogs,1176,kilimchoi,engineering-blogs,unknown
Hack-with-Github/Awesome-Hacking,1174,Hack-with-Github,Awesome-Hacking,unknown
bytebase/bytebase,1170,bytebase,bytebase,unknown
lencx/ChatGPT,1169,lencx,ChatGPT,unknown
100xdevs-cohort-2/assignments,1169,100xdevs-cohort-2,assignments,unknown
roboflow/supervision,1168,roboflow,supervision,unknown
wavetermdev/waveterm,1161,wavetermdev,waveterm,unknown
gpt-engineer-org/gpt-engineer,1157,gpt-engineer-org,gpt-engineer,unknown
dreamoving/dreamoving-project,1148,dreamoving,dreamoving-project,unknown
ytongbai/LVM,1147,ytongbai,LVM,unknown
microsoft/vscode,1144,microsoft,vscode,unknown
jordan-cutler/path-to-senior-engineer-handbook,1141,jordan-cutler,path-to-senior-engineer-handbook,unknown
easychen/lean-side-bussiness,1140,easychen,lean-side-bussiness,unknown
danswer-ai/danswer,1138,danswer-ai,danswer,unknown
Stability-AI/stablediffusion,1137,Stability-AI,stablediffusion,unknown
usememos/memos,1135,usememos,memos,unknown
bbycroft/llm-viz,1134,bbycroft,llm-viz,unknown
SagerNet/sing-box,1120,SagerNet,sing-box,unknown
LiLittleCat/awesome-free-chatgpt,1116,LiLittleCat,awesome-free-chatgpt,unknown
vercel/next.js,1114,vercel,next.js,unknown
upscayl/upscayl,1113,upscayl,upscayl,unknown
HerbertHe/iptv-sources,1111,HerbertHe,iptv-sources,unknown
godotengine/godot,1106,godotengine,godot,unknown
microsoft/promptbench,1103,microsoft,promptbench,unknown
CyC2018/CS-Notes,1101,CyC2018,CS-Notes,unknown
prakhar1989/awesome-courses,1100,prakhar1989,awesome-courses,unknown
Coframe/coffee,1099,Coframe,coffee,unknown
WuKongOpenSource/Wukong_HRM,1091,WuKongOpenSource,Wukong_HRM,unknown
ytdl-org/youtube-dl,1089,ytdl-org,youtube-dl,unknown
