repo_name,stars,owner,repo,sustainability_status
tinygrad/tinygrad,715,tinygrad,tinygrad,unknown
pola-rs/polars,712,pola-rs,polars,unknown
danielmiessler/SecLists,712,danielmiessler,SecLists,unknown
nikolaydubina/go-recipes,712,nikolaydubina,go-recipes,unknown
huggingface/candle,712,huggingface,candle,unknown
Developer-Y/cs-video-courses,711,Developer-Y,cs-video-courses,unknown
mermaid-js/mermaid,711,mermaid-js,mermaid,unknown
iamadamdev/bypass-paywalls-chrome,711,iamadamdev,bypass-paywalls-chrome,unknown
microsoft/semantic-kernel,710,microsoft,semantic-kernel,unknown
chiteroman/PlayIntegrityFix,710,chiteroman,PlayIntegrityFix,unknown
DovAmir/awesome-design-patterns,708,DovAmir,awesome-design-patterns,unknown
sweepai/sweep,706,sweepai,sweep,unknown
pheralb/svgl,701,pheralb,svgl,unknown
nvim-lua/kickstart.nvim,701,nvim-lua,kickstart.nvim,unknown
obsproject/obs-studio,700,obsproject,obs-studio,unknown
filamentphp/filament,698,filamentphp,filament,unknown
youngyangyang04/leetcode-master,691,youngyangyang04,leetcode-master,unknown
junegunn/fzf,691,junegunn,fzf,unknown
krayin/laravel-crm,689,krayin,laravel-crm,unknown
blossom-editor/blossom,689,blossom-editor,blossom,unknown
THUDM/CodeGeeX2,689,THUDM,CodeGeeX2,unknown
dani-garcia/vaultwarden,687,dani-garcia,vaultwarden,unknown
eosphoros-ai/DB-GPT,686,eosphoros-ai,DB-GPT,unknown
type-challenges/type-challenges,685,type-challenges,type-challenges,unknown
refinedev/refine,684,refinedev,refine,unknown
uvdesk/community-skeleton,682,uvdesk,community-skeleton,unknown
raysan5/raylib,681,raysan5,raylib,unknown
tw93/Pake,680,tw93,Pake,unknown
manticoresoftware/manticoresearch,679,manticoresoftware,manticoresearch,unknown
LizardByte/Sunshine,679,LizardByte,Sunshine,unknown
BradyFU/Awesome-Multimodal-Large-Language-Models,678,BradyFU,Awesome-Multimodal-Large-Language-Models,unknown
joaomdmoura/crewAI,677,joaomdmoura,crewAI,unknown
nektos/act,676,nektos,act,unknown
Acly/krita-ai-diffusion,676,Acly,krita-ai-diffusion,unknown
SuxueCode/WechatBakTool,675,SuxueCode,WechatBakTool,unknown
commaai/openpilot,675,commaai,openpilot,unknown
ryanoasis/nerd-fonts,675,ryanoasis,nerd-fonts,unknown
ofek/pyapp,674,ofek,pyapp,unknown
nlohmann/json,674,nlohmann,json,unknown
zhyever/PatchFusion,673,zhyever,PatchFusion,unknown
Lightning-AI/lit-gpt,672,Lightning-AI,lit-gpt,unknown
alacritty/alacritty,672,alacritty,alacritty,unknown
gethomepage/homepage,672,gethomepage,homepage,unknown
mlc-ai/mlc-llm,671,mlc-ai,mlc-llm,unknown
goldbergyoni/nodebestpractices,671,goldbergyoni,nodebestpractices,unknown
matt8707/ha-fusion,669,matt8707,ha-fusion,unknown
djsime1/awesome-flipperzero,669,djsime1,awesome-flipperzero,unknown
debauchee/barrier,667,debauchee,barrier,unknown
AntonOsika/gpt-engineer,665,AntonOsika,gpt-engineer,unknown
Flode-Labs/vid2densepose,665,Flode-Labs,vid2densepose,unknown
infiniflow/infinity,665,infiniflow,infinity,unknown
DarkFlippers/unleashed-firmware,663,DarkFlippers,unleashed-firmware,unknown
webkul/hotelcommerce,663,webkul,hotelcommerce,unknown
jart/cosmopolitan,662,jart,cosmopolitan,unknown
kroma-network/tachyon,660,kroma-network,tachyon,unknown
SawyerHood/draw-a-ui,658,SawyerHood,draw-a-ui,unknown
standard-webhooks/standard-webhooks,658,standard-webhooks,standard-webhooks,unknown
JShollaj/awesome-llm-interpretability,657,JShollaj,awesome-llm-interpretability,unknown
dai-shi/waku,657,dai-shi,waku,unknown
huggingface/diffusers,657,huggingface,diffusers,unknown
BurntSushi/ripgrep,657,BurntSushi,ripgrep,unknown
MatsuriDayo/NekoBoxForAndroid,655,MatsuriDayo,NekoBoxForAndroid,unknown
spla-tam/SplaTAM,655,spla-tam,SplaTAM,unknown
hiddify/hiddify-next,653,hiddify,hiddify-next,unknown
nestjs/nest,652,nestjs,nest,unknown
SPLWare/esProc,651,SPLWare,esProc,unknown
tesseract-ocr/tesseract,650,tesseract-ocr,tesseract,unknown
hiteshchoudhary/chai-aur-react,650,hiteshchoudhary,chai-aur-react,unknown
liuchong/awesome-roadmaps,649,liuchong,awesome-roadmaps,unknown
dair-ai/ML-Papers-of-the-Week,649,dair-ai,ML-Papers-of-the-Week,unknown
gorhill/uBlock,648,gorhill,uBlock,unknown
zbezj/HEU_KMS_Activator,647,zbezj,HEU_KMS_Activator,unknown
d3george/slash-admin,647,d3george,slash-admin,unknown
iusztinpaul/hands-on-llms,647,iusztinpaul,hands-on-llms,unknown
django/django,646,django,django,unknown
ziglang/zig,644,ziglang,zig,unknown
freefq/free,642,freefq,free,unknown
TheRamU/Fay,641,TheRamU,Fay,unknown
Alvin9999/new-pac,641,Alvin9999,new-pac,unknown
jellyfin/jellyfin,641,jellyfin,jellyfin,unknown
colinhacks/zod,641,colinhacks,zod,unknown
halo-dev/halo,640,halo-dev,halo,unknown
openai-translator/openai-translator,637,openai-translator,openai-translator,unknown
weaigc/bingo,637,weaigc,bingo,unknown
facebook/react-native,637,facebook,react-native,unknown
yuzu-emu/yuzu,637,yuzu-emu,yuzu,unknown
opencv/opencv,635,opencv,opencv,unknown
microsoft/Web-Dev-For-Beginners,635,microsoft,Web-Dev-For-Beginners,unknown
apache/superset,634,apache,superset,unknown
logseq/logseq,634,logseq,logseq,unknown
Wilfred/difftastic,633,Wilfred,difftastic,unknown
milvus-io/milvus,632,milvus-io,milvus,unknown
facefusion/facefusion,631,facefusion,facefusion,unknown
yuliskov/SmartTube,631,yuliskov,SmartTube,unknown
folke/lazy.nvim,631,folke,lazy.nvim,unknown
facebook/docusaurus,630,facebook,docusaurus,unknown
goabstract/Awesome-Design-Tools,628,goabstract,Awesome-Design-Tools,unknown
modularml/mojo,628,modularml,mojo,unknown
gin-gonic/gin,626,gin-gonic,gin,unknown
bevyengine/bevy,625,bevyengine,bevy,unknown
NaiboWang/EasySpider,625,NaiboWang,EasySpider,unknown
bitcoin/bitcoin,622,bitcoin,bitcoin,unknown
acmesh-official/acme.sh,622,acmesh-official,acme.sh,unknown
piglei/one-python-craftsman,621,piglei,one-python-craftsman,unknown
sudheerj/reactjs-interview-questions,620,sudheerj,reactjs-interview-questions,unknown
Anttwo/SuGaR,620,Anttwo,SuGaR,unknown
opentofu/opentofu,619,opentofu,opentofu,unknown
helix-editor/helix,619,helix-editor,helix,unknown
prisma/prisma,618,prisma,prisma,unknown
Anuken/Mindustry,616,Anuken,Mindustry,unknown
simondankelmann/Bluetooth-LE-Spam,615,simondankelmann,Bluetooth-LE-Spam,unknown
vuejs/core,613,vuejs,core,unknown
pot-app/pot-desktop,613,pot-app,pot-desktop,unknown
refilc/webnaplo,612,refilc,webnaplo,unknown
Chanzhaoyu/chatgpt-web,612,Chanzhaoyu,chatgpt-web,unknown
ascoders/weekly,611,ascoders,weekly,unknown
gregsadetsky/sagittarius,610,gregsadetsky,sagittarius,unknown
lapce/lapce,610,lapce,lapce,unknown
PySimpleGUI/PySimpleGUI,610,PySimpleGUI,PySimpleGUI,unknown
scalar/scalar,609,scalar,scalar,unknown
wailsapp/wails,609,wailsapp,wails,unknown
docker/awesome-compose,608,docker,awesome-compose,unknown
casey/just,607,casey,just,unknown
meilisearch/meilisearch,607,meilisearch,meilisearch,unknown
strapi/strapi,607,strapi,strapi,unknown
isadorasophia/murder,606,isadorasophia,murder,unknown
blakeblackshear/frigate,605,blakeblackshear,frigate,unknown
microsoft/windows-ai-studio,604,microsoft,windows-ai-studio,unknown
Alfred-Skyblue/vue-draggable-plus,604,Alfred-Skyblue,vue-draggable-plus,unknown
labuladong/fucking-algorithm,603,labuladong,fucking-algorithm,unknown
TeamNewPipe/NewPipe,602,TeamNewPipe,NewPipe,unknown
exelban/stats,602,exelban,stats,unknown
netbootxyz/netboot.xyz,601,netbootxyz,netboot.xyz,unknown
HqWu-HITCS/Awesome-Chinese-LLM,601,HqWu-HITCS,Awesome-Chinese-LLM,unknown
ezshine/AwesomeSites,600,ezshine,AwesomeSites,unknown
lllyasviel/ControlNet,599,lllyasviel,ControlNet,unknown
s0md3v/roop,599,s0md3v,roop,unknown
microsoft/DeepSpeed,599,microsoft,DeepSpeed,unknown
devv-ai/devv,599,devv-ai,devv,unknown
ExpLangcn/NucleiTP,597,ExpLangcn,NucleiTP,unknown
toeverything/AFFiNE,597,toeverything,AFFiNE,unknown
SqueezeAILab/LLMCompiler,597,SqueezeAILab,LLMCompiler,unknown
facundoolano/feedi,596,facundoolano,feedi,unknown
StarRocks/starrocks,595,StarRocks,starrocks,unknown
wuyouzhuguli/SpringAll,595,wuyouzhuguli,SpringAll,unknown
imoneoi/openchat,594,imoneoi,openchat,unknown
Loyalsoldier/clash-rules,593,Loyalsoldier,clash-rules,unknown
01-ai/Yi,593,01-ai,Yi,unknown
open-compass/MixtralKit,593,open-compass,MixtralKit,unknown
SillyTavern/SillyTavern,591,SillyTavern,SillyTavern,unknown
PaddlePaddle/PaddleOCR,589,PaddlePaddle,PaddleOCR,unknown
alibaba-damo-academy/FunASR,589,alibaba-damo-academy,FunASR,unknown
openai/CLIP,587,openai,CLIP,unknown
Eugeny/tabby,587,Eugeny,tabby,unknown
prasanthrangan/hyprdots,586,prasanthrangan,hyprdots,unknown
nextui-org/nextui,586,nextui-org,nextui,unknown
blackmatrix7/ios_rule_script,586,blackmatrix7,ios_rule_script,unknown
dataelement/bisheng,585,dataelement,bisheng,unknown
Light-City/CPlusPlusThings,584,Light-City,CPlusPlusThings,unknown
Whisky-App/Whisky,583,Whisky-App,Whisky,unknown
microsoft/TypeScript,583,microsoft,TypeScript,unknown
marticliment/WingetUI,582,marticliment,WingetUI,unknown
spyboy-productions/CloakQuest3r,581,spyboy-productions,CloakQuest3r,unknown
TG-ToolsFree/Telegram-Adder-Scraper-BulkMessageSender-Forwarder-FakeViews-Reporter-ChannelCopy_All-In-1-Tool-2023,581,TG-ToolsFree,Telegram-Adder-Scraper-BulkMessageSender-Forwarder-FakeViews-Reporter-ChannelCopy_All-In-1-Tool-2023,unknown
ltdrdata/ComfyUI-Manager,580,ltdrdata,ComfyUI-Manager,unknown
3b1b/manim,580,3b1b,manim,unknown
modood/Administrative-divisions-of-China,579,modood,Administrative-divisions-of-China,unknown
m-bain/whisperX,578,m-bain,whisperX,unknown
charmbracelet/bubbletea,578,charmbracelet,bubbletea,unknown
hiteshchoudhary/chai-backend,578,hiteshchoudhary,chai-backend,unknown
coreybutler/nvm-windows,578,coreybutler,nvm-windows,unknown
aymenfurter/microagents,576,aymenfurter,microagents,unknown
srush/Tensor-Puzzles,575,srush,Tensor-Puzzles,unknown
drizzle-team/drizzle-orm,574,drizzle-team,drizzle-orm,unknown
sickcodes/Docker-OSX,574,sickcodes,Docker-OSX,unknown
romkatv/powerlevel10k,574,romkatv,powerlevel10k,unknown
itgoyo/TelegramGroup,574,itgoyo,TelegramGroup,unknown
bregman-arie/devops-exercises,574,bregman-arie,devops-exercises,unknown
omnivore-app/omnivore,573,omnivore-app,omnivore,unknown
isno/theByteBook,573,isno,theByteBook,unknown
sunface/rust-course,571,sunface,rust-course,unknown
elysiajs/elysia,570,elysiajs,elysia,unknown
go-gost/gost,570,go-gost,gost,unknown
FFmpeg/FFmpeg,570,FFmpeg,FFmpeg,unknown
tisfeng/Easydict,569,tisfeng,Easydict,unknown
lyswhut/lx-music-mobile,566,lyswhut,lx-music-mobile,unknown
pppscn/SmsForwarder,565,pppscn,SmsForwarder,unknown
vuejs/vue,565,vuejs,vue,unknown
Bin-Huang/chatbox,564,Bin-Huang,chatbox,unknown
bensadeh/tailspin,564,bensadeh,tailspin,unknown
huggingface/peft,562,huggingface,peft,unknown
python/cpython,562,python,cpython,unknown
caddyserver/caddy,561,caddyserver,caddy,unknown
kellyjonbrazil/jc,561,kellyjonbrazil,jc,unknown
tokio-rs/axum,560,tokio-rs,axum,unknown
nightcca/CC-NIGHT,559,nightcca,CC-NIGHT,unknown
ryanmcdermott/clean-code-javascript,558,ryanmcdermott,clean-code-javascript,unknown
dotnet/eShop,558,dotnet,eShop,unknown
ashishps1/awesome-low-level-design,557,ashishps1,awesome-low-level-design,unknown
penxio/penx,556,penxio,penx,unknown
streamlit/streamlit,556,streamlit,streamlit,unknown
guidance-ai/guidance,554,guidance-ai,guidance,unknown
kingToolbox/WindTerm,553,kingToolbox,WindTerm,unknown
gohugoio/hugo,553,gohugoio,hugo,unknown
sczhou/Upscale-A-Video,548,sczhou,Upscale-A-Video,unknown
laurent22/joplin,546,laurent22,joplin,unknown
jgraph/drawio-desktop,545,jgraph,drawio-desktop,unknown
OwO-Network/DeepLX,544,OwO-Network,DeepLX,unknown
expo/expo,543,expo,expo,unknown
krahets/LeetCode-Book,542,krahets,LeetCode-Book,unknown
bannedbook/fanqiang,541,bannedbook,fanqiang,unknown
Dao-AILab/flash-attention,540,Dao-AILab,flash-attention,unknown
FedML-AI/FedML,540,FedML-AI,FedML,unknown
tteck/Proxmox,540,tteck,Proxmox,unknown
sh-lee-prml/HierSpeechpp,540,sh-lee-prml,HierSpeechpp,unknown
enaqx/awesome-react,538,enaqx,awesome-react,unknown
mengzehe/TVBox,538,mengzehe,TVBox,unknown
o0HalfLife0o/TVBoxOSC,536,o0HalfLife0o,TVBoxOSC,unknown
mui/material-ui,534,mui,material-ui,unknown
UberGuidoZ/Flipper,534,UberGuidoZ,Flipper,unknown
electron/electron,533,electron,electron,unknown
chat2db/Chat2DB,532,chat2db,Chat2DB,unknown
photoprism/photoprism,530,photoprism,photoprism,unknown
CodeWithHarry/Sigma-Web-Dev-Course,530,CodeWithHarry,Sigma-Web-Dev-Course,unknown
LazyVim/LazyVim,529,LazyVim,LazyVim,unknown
airbnb/javascript,528,airbnb,javascript,unknown
calcom/cal.com,528,calcom,cal.com,unknown
appwrite/appwrite,528,appwrite,appwrite,unknown
llvm/llvm-project,527,llvm,llvm-project,unknown
trpc/trpc,525,trpc,trpc,unknown
w-okada/voice-changer,525,w-okada,voice-changer,unknown
karpathy/minGPT,525,karpathy,minGPT,unknown
zclzone/vue-naive-admin,524,zclzone,vue-naive-admin,unknown
mpv-player/mpv,524,mpv-player,mpv,unknown
huiyadanli/RevokeMsgPatcher,524,huiyadanli,RevokeMsgPatcher,unknown
CorentinTh/it-tools,523,CorentinTh,it-tools,unknown
slint-ui/slint,522,slint-ui,slint,unknown
baaivision/Emu,522,baaivision,Emu,unknown
FlagAlpha/Llama2-Chinese,519,FlagAlpha,Llama2-Chinese,unknown
golang-standards/project-layout,518,golang-standards,project-layout,unknown
PKUanonym/REKCARC-TSC-UHT,517,PKUanonym,REKCARC-TSC-UHT,unknown
bentoml/OpenLLM,517,bentoml,OpenLLM,unknown
HuskyDG/magisk-files,517,HuskyDG,magisk-files,unknown
mayuki/Cocona,517,mayuki,Cocona,unknown
angular/angular,515,angular,angular,unknown
xx025/carrot,515,xx025,carrot,unknown
qdrant/qdrant,515,qdrant,qdrant,unknown
odoo/odoo,515,odoo,odoo,unknown
tldraw/make-real,513,tldraw,make-real,unknown
xinntao/Real-ESRGAN,513,xinntao,Real-ESRGAN,unknown
AdguardTeam/AdGuardHome,512,AdguardTeam,AdGuardHome,unknown
huggingface/optimum-nvidia,510,huggingface,optimum-nvidia,unknown
rough-stuff/rough-notation,509,rough-stuff,rough-notation,unknown
LTH14/rcg,509,LTH14,rcg,unknown
jepsen-io/maelstrom,509,jepsen-io,maelstrom,unknown
starship/starship,509,starship,starship,unknown
ant-design/ant-design,509,ant-design,ant-design,unknown
qbittorrent/qBittorrent,508,qbittorrent,qBittorrent,unknown
miketromba/highest-paying-software-companies,507,miketromba,highest-paying-software-companies,unknown
LSPosed/LSPosed,505,LSPosed,LSPosed,unknown
epfLLM/meditron,505,epfLLM,meditron,unknown
wilsonfreitas/awesome-quant,505,wilsonfreitas,awesome-quant,unknown
abetlen/llama-cpp-python,504,abetlen,llama-cpp-python,unknown
hunar4321/particle-life,504,hunar4321,particle-life,unknown
bricks-cloud/BricksLLM,503,bricks-cloud,BricksLLM,unknown
rcmaehl/MSEdgeRedirect,502,rcmaehl,MSEdgeRedirect,unknown
Yuliang-Liu/Monkey,502,Yuliang-Liu,Monkey,unknown
straight-tamago/misaka,502,straight-tamago,misaka,unknown
jackhawks/rectg,502,jackhawks,rectg,unknown
mifi/lossless-cut,500,mifi,lossless-cut,unknown
cpacker/MemGPT,500,cpacker,MemGPT,unknown
eza-community/eza,499,eza-community,eza,unknown
outline/outline,499,outline,outline,unknown
siyuan-note/siyuan,499,siyuan-note,siyuan,unknown
QSCTech/zju-icicles,498,QSCTech,zju-icicles,unknown
chai-research/chaiverse,498,chai-research,chaiverse,unknown
SYSTRAN/faster-whisper,497,SYSTRAN,faster-whisper,unknown
netdata/netdata,496,netdata,netdata,unknown
koekeishiya/yabai,496,koekeishiya,yabai,unknown
deepinsight/insightface,495,deepinsight,insightface,unknown
NVIDIA/TensorRT-LLM,495,NVIDIA,TensorRT-LLM,unknown
waydabber/BetterDisplay,494,waydabber,BetterDisplay,unknown
chaseSpace/k8s-tutorial-cn,494,chaseSpace,k8s-tutorial-cn,unknown
bradtraversy/50projects50days,492,bradtraversy,50projects50days,unknown
coder/code-server,491,coder,code-server,unknown
sindresorhus/awesome-nodejs,491,sindresorhus,awesome-nodejs,unknown
chongzhou96/EdgeSAM,491,chongzhou96,EdgeSAM,unknown
XTLS/Xray-core,490,XTLS,Xray-core,unknown
MHSanaei/3x-ui,489,MHSanaei,3x-ui,unknown
minio/minio,488,minio,minio,unknown
SafeBreach-Labs/PoolParty,488,SafeBreach-Labs,PoolParty,unknown
reworkd/AgentGPT,488,reworkd,AgentGPT,unknown
lecepin/WeChatVideoDownloader,487,lecepin,WeChatVideoDownloader,unknown
apernet/hysteria,487,apernet,hysteria,unknown
paul-gauthier/aider,485,paul-gauthier,aider,unknown
elifgazioglu/doyouwannagooutwithme,484,elifgazioglu,doyouwannagooutwithme,unknown
verida/verida-js,484,verida,verida-js,unknown
CorentinJ/Real-Time-Voice-Cloning,484,CorentinJ,Real-Time-Voice-Cloning,unknown
Z4nzu/hackingtool,483,Z4nzu,hackingtool,unknown
WuKongOpenSource/Wukong_KnowledgeBase,483,WuKongOpenSource,Wukong_KnowledgeBase,unknown
ClickHouse/ClickHouse,483,ClickHouse,ClickHouse,unknown
hashicorp/terraform,482,hashicorp,terraform,unknown
ekzhang/sshx,481,ekzhang,sshx,unknown
ngosang/trackerslist,480,ngosang,trackerslist,unknown
Universidade-Livre/ciencia-da-computacao,480,Universidade-Livre,ciencia-da-computacao,unknown
MetaCubeX/ClashMetaForAndroid,478,MetaCubeX,ClashMetaForAndroid,unknown
wenge-research/YAYI2,478,wenge-research,YAYI2,unknown
NvChad/NvChad,477,NvChad,NvChad,unknown
GaiZhenbiao/ChuanhuChatGPT,477,GaiZhenbiao,ChuanhuChatGPT,unknown
SylarLong/iztro,477,SylarLong,iztro,unknown
lstprjct/IDM-Activation-Script,477,lstprjct,IDM-Activation-Script,unknown
Yanyutin753/PandoraNext-TokensTool,476,Yanyutin753,PandoraNext-TokensTool,unknown
chinesehuazhou/python-weekly,476,chinesehuazhou,python-weekly,unknown
karpathy/llama2.c,475,karpathy,llama2.c,unknown
bytedance/ImageDream,475,bytedance,ImageDream,unknown
cg123/mergekit,475,cg123,mergekit,unknown
primefaces/primevue,475,primefaces,primevue,unknown
continuedev/continue,475,continuedev,continue,unknown
hua1995116/indiehackers-steps,474,hua1995116,indiehackers-steps,unknown
sharkdp/fd,474,sharkdp,fd,unknown
josephmisiti/awesome-machine-learning,474,josephmisiti,awesome-machine-learning,unknown
go-gitea/gitea,474,go-gitea,gitea,unknown
doocs/leetcode,474,doocs,leetcode,unknown
nextauthjs/next-auth,474,nextauthjs,next-auth,unknown
jesseduffield/lazydocker,473,jesseduffield,lazydocker,unknown
Unstructured-IO/unstructured,472,Unstructured-IO,unstructured,unknown
warpdotdev/Warp,470,warpdotdev,Warp,unknown
Asabeneh/30-Days-Of-JavaScript,470,Asabeneh,30-Days-Of-JavaScript,unknown
sharkdp/bat,470,sharkdp,bat,unknown
netease-youdao/EmotiVoice,470,netease-youdao,EmotiVoice,unknown
outlines-dev/outlines,470,outlines-dev,outlines,unknown
explodinggradients/ragas,470,explodinggradients,ragas,unknown
vanjs-org/van,469,vanjs-org,van,unknown
gkd-kit/subscription,469,gkd-kit,subscription,unknown
aseprite/aseprite,469,aseprite,aseprite,unknown
zhongyang219/TrafficMonitor,468,zhongyang219,TrafficMonitor,unknown
myshell-ai/OpenVoice,468,myshell-ai,OpenVoice,unknown
XIU2/CloudflareSpeedTest,467,XIU2,CloudflareSpeedTest,unknown
xiaojieonly/Ehviewer_CN_SXJ,467,xiaojieonly,Ehviewer_CN_SXJ,unknown
be5invis/Iosevka,467,be5invis,Iosevka,unknown
iluwatar/java-design-patterns,467,iluwatar,java-design-patterns,unknown
zulip/zulip,466,zulip,zulip,unknown
zijie0/HumanSystemOptimization,466,zijie0,HumanSystemOptimization,unknown
spring-projects/spring-boot,465,spring-projects,spring-boot,unknown
bionic-gpt/bionic-gpt,465,bionic-gpt,bionic-gpt,unknown
jdx/rtx,465,jdx,rtx,unknown
NginxProxyManager/nginx-proxy-manager,465,NginxProxyManager,nginx-proxy-manager,unknown
xiaolai/everyone-can-use-english,464,xiaolai,everyone-can-use-english,unknown
luosiallen/latent-consistency-model,464,luosiallen,latent-consistency-model,unknown
WuKongOpenSource/Wukong_ProjectManagement,464,WuKongOpenSource,Wukong_ProjectManagement,unknown
wasp-lang/wasp,464,wasp-lang,wasp,unknown
xxlong0/Wonder3D,463,xxlong0,Wonder3D,unknown
bradtraversy/design-resources-for-developers,462,bradtraversy,design-resources-for-developers,unknown
wez/wezterm,462,wez,wezterm,unknown
aidenybai/million,462,aidenybai,million,unknown
babysor/MockingBird,461,babysor,MockingBird,unknown
spacedriveapp/spacedrive,459,spacedriveapp,spacedrive,unknown
microsoft/terminal,459,microsoft,terminal,unknown
liguodongiot/llm-action,458,liguodongiot,llm-action,unknown
DevxStudio/Phoenix-Clipper-Malware,458,DevxStudio,Phoenix-Clipper-Malware,unknown
you-dont-need/You-Dont-Need-Lodash-Underscore,458,you-dont-need,You-Dont-Need-Lodash-Underscore,unknown
ashishps1/awesome-low-low-design,458,ashishps1,awesome-low-low-design,unknown
twbs/bootstrap,457,twbs,bootstrap,unknown
vernesong/OpenClash,456,vernesong,OpenClash,unknown
deepseek-ai/DeepSeek-Coder,455,deepseek-ai,DeepSeek-Coder,unknown
rclone/rclone,455,rclone,rclone,unknown
tachiyomiorg/tachiyomi,455,tachiyomiorg,tachiyomi,unknown
jianchang512/pyvideotrans,454,jianchang512,pyvideotrans,unknown
plasmicapp/plasmic,454,plasmicapp,plasmic,unknown
openpilot-hub/devpilot-intellij,453,openpilot-hub,devpilot-intellij,unknown
lean-dojo/LeanCopilot,453,lean-dojo,LeanCopilot,unknown
grafana/grafana,453,grafana,grafana,unknown
aiboboxx/clashfree,453,aiboboxx,clashfree,unknown
SoftFever/OrcaSlicer,452,SoftFever,OrcaSlicer,unknown
utmapp/UTM,452,utmapp,UTM,unknown
google-deepmind/funsearch,452,google-deepmind,funsearch,unknown
redis/redis,451,redis,redis,unknown
Totodore/socketioxide,451,Totodore,socketioxide,unknown
mtdvio/every-programmer-should-know,451,mtdvio,every-programmer-should-know,unknown
assafelovic/gpt-researcher,450,assafelovic,gpt-researcher,unknown
janhq/jan,450,janhq,jan,unknown
radishes-music/radishes,450,radishes-music,radishes,unknown
pyenv/pyenv,449,pyenv,pyenv,unknown
atomicals/atomicals-js,448,atomicals,atomicals-js,unknown
ant-design/ant-design-web3,447,ant-design,ant-design-web3,unknown
m3y54m/Embedded-Engineering-Roadmap,447,m3y54m,Embedded-Engineering-Roadmap,unknown
LeCoupa/awesome-cheatsheets,446,LeCoupa,awesome-cheatsheets,unknown
CircleRadon/Osprey,445,CircleRadon,Osprey,unknown
ThePrimeagen/harpoon,445,ThePrimeagen,harpoon,unknown
koodo-reader/koodo-reader,445,koodo-reader,koodo-reader,unknown
pathwaycom/pathway,443,pathwaycom,pathway,unknown
etcd-io/etcd,442,etcd-io,etcd,unknown
ProjectDonetsk/Donetsk,441,ProjectDonetsk,Donetsk,unknown
Kong/insomnia,441,Kong,insomnia,unknown
zellij-org/zellij,439,zellij-org,zellij,unknown
stanford-futuredata/megablocks,439,stanford-futuredata,megablocks,unknown
YunaiV/ruoyi-vue-pro,438,YunaiV,ruoyi-vue-pro,unknown
mattermost/focalboard,438,mattermost,focalboard,unknown
files-community/Files,438,files-community,Files,unknown
marktext/marktext,437,marktext,marktext,unknown
leptos-rs/leptos,437,leptos-rs,leptos,unknown
srush/GPU-Puzzles,437,srush,GPU-Puzzles,unknown
ansible/ansible,437,ansible,ansible,unknown
sdg-1/consulting-handbook,436,sdg-1,consulting-handbook,unknown
qianguyihao/blog-list,436,qianguyihao,blog-list,unknown
zadam/trilium,436,zadam,trilium,unknown
chroma-core/chroma,436,chroma-core,chroma,unknown
h2oai/h2ogpt,434,h2oai,h2ogpt,unknown
WerWolv/ImHex,434,WerWolv,ImHex,unknown
v2fly/v2ray-core,434,v2fly,v2ray-core,unknown
KwaiKEG/KwaiAgents,434,KwaiKEG,KwaiAgents,unknown
PostHog/posthog,433,PostHog,posthog,unknown
friuns2/BlackFriday-GPTs-Prompts,432,friuns2,BlackFriday-GPTs-Prompts,unknown
microsoft/Data-Science-For-Beginners,431,microsoft,Data-Science-For-Beginners,unknown
tokio-rs/tokio,431,tokio-rs,tokio,unknown
233boy/v2ray,430,233boy,v2ray,unknown
idurar/idurar-erp-crm,430,idurar,idurar-erp-crm,unknown
PromtEngineer/localGPT,430,PromtEngineer,localGPT,unknown
coder2gwy/coder2gwy,430,coder2gwy,coder2gwy,unknown
EthicalML/awesome-production-machine-learning,429,EthicalML,awesome-production-machine-learning,unknown
facebookresearch/faiss,429,facebookresearch,faiss,unknown
emilkowalski/sonner,429,emilkowalski,sonner,unknown
rough-stuff/rough,428,rough-stuff,rough,unknown
dubinc/dub,428,dubinc,dub,unknown
mouredev/python-web,427,mouredev,python-web,unknown
iperov/DeepFaceLab,427,iperov,DeepFaceLab,unknown
filebrowser/filebrowser,427,filebrowser,filebrowser,unknown
immersive-translate/immersive-translate,427,immersive-translate,immersive-translate,unknown
adobe/react-spectrum,427,adobe,react-spectrum,unknown
axios/axios,426,axios,axios,unknown
postgresml/postgresml,426,postgresml,postgresml,unknown
agalwood/Motrix,426,agalwood,Motrix,unknown
SpotX-Official/SpotX,425,SpotX-Official,SpotX,unknown
udlbook/udlbook,424,udlbook,udlbook,unknown
Pennyw0rth/NetExec,424,Pennyw0rth,NetExec,unknown
nvbn/thefuck,424,nvbn,thefuck,unknown
Mikubill/sd-webui-controlnet,424,Mikubill,sd-webui-controlnet,unknown
XIU2/TrackersListCollection,423,XIU2,TrackersListCollection,unknown
kuafuai/DevOpsGPT,422,kuafuai,DevOpsGPT,unknown
allenai/papermage,422,allenai,papermage,unknown
jackfrued/Python-Core-50-Courses,421,jackfrued,Python-Core-50-Courses,unknown
DropbaseHQ/dropbase,421,DropbaseHQ,dropbase,unknown
flipperdevices/flipperzero-firmware,420,flipperdevices,flipperzero-firmware,unknown
openobserve/openobserve,420,openobserve,openobserve,unknown
PanJiaChen/vue-element-admin,420,PanJiaChen,vue-element-admin,unknown
Johnshall/Shadowrocket-ADBlock-Rules-Forever,419,Johnshall,Shadowrocket-ADBlock-Rules-Forever,unknown
invoke-ai/InvokeAI,419,invoke-ai,InvokeAI,unknown
