has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,False,True,True,False,False,42,success,youfou/wxpy,youfou,wxpy,3.0,0.0,0.0
False,False,True,True,False,False,42,success,ufoym/deepo,ufoym,deepo,3.4,0.0,0.0
True,True,True,True,False,False,71,success,Chalarangelo/30-seconds-of-python,Chalarangelo,30-seconds-of-python,,,
False,True,True,True,False,False,57,success,dabeaz/curio,dabeaz,curio,3.4,0.0,3.0
False,False,True,True,False,False,42,success,hardikvasa/google-images-download,hardikvasa,google-images-download,3.7,0.0,5.0
False,False,True,True,False,False,42,success,yunjey/stargan,yunjey,stargan,,,
True,True,True,True,False,False,87,success,facebookresearch/demucs,facebookresearch,demucs,3.7,0.0,5.0
False,True,True,True,False,False,50,success,idealo/image-super-resolution,idealo,image-super-resolution,4.1,0.0,7.0
False,False,False,True,False,False,28,success,shobrook/rebound,shobrook,rebound,2.8,0.0,4.0
True,False,False,True,False,False,37,success,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,3.5,0.0,9.0
False,False,True,True,False,False,42,success,alexjc/neural-enhance,alexjc,neural-enhance,,,
False,False,True,True,False,False,42,success,humphd/have-fun-with-machine-learning,humphd,have-fun-with-machine-learning,,,
True,True,True,True,False,True,87,success,facebookresearch/ParlAI,facebookresearch,ParlAI,4.4,0.0,10.0
True,True,True,True,False,False,75,success,albumentations-team/albumentations,albumentations-team,albumentations,3.4,0.0,3.0
False,False,True,True,False,False,42,success,lukemelas/EfficientNet-PyTorch,lukemelas,EfficientNet-PyTorch,3.4,0.0,3.0
