Model,Accuracy (Mean),Accuracy (Std),ROC-AUC (Mean),ROC-AUC (Std)
Logistic Regression,0.8019999999999999,0.030594117081556703,0.8473599999999999,0.027175989402411862
Random Forest,0.9040000000000001,0.016248076809271934,0.9656799999999999,0.012293477945642579
